source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
intervention,1,2010,male,0,393,0,0,0,1,-0.00356456,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.92112,0.0508906,0.0279898,0.0788804,0,0,0
intervention,1,2010,female,0,377,0,0,0,0,0.00627512,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.923077,0.0371353,0.0397878,0.0769231,0,0,0
intervention,1,2010,male,1,391,1,1,1,1,-0.00169475,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.056266,0,0,0.00255754,0,0.0252295,0,0,0.882353,0.056266,0.0613811,0.117647,0,2522.95,2522.95
intervention,1,2010,female,1,375,1,1,1,0,0.0841985,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0346667,0,0,0.00266667,0,0.0274284,0,0,0.896,0.0586667,0.0453333,0.104,0,2742.84,2742.84
intervention,1,2010,male,2,390,2,4,8,1,0.0389568,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0641026,0,0,0.00769231,0,0.0252295,0,0,0.833333,0.0846154,0.0820513,0.166667,0,2522.95,2522.95
intervention,1,2010,female,2,373,2,4,8,0,-0.0318271,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0589812,0,0,0.0134048,0,0.0274284,0,0,0.855228,0.0697051,0.075067,0.144772,0,2742.84,2742.84
intervention,1,2010,male,3,392,3,9,27,1,0.0108311,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0433673,0,0,0.0127551,0,0.0252295,0,0,0.729592,0.102041,0.168367,0.270408,0,2522.95,2522.95
intervention,1,2010,female,3,374,3,9,27,0,-0.00143744,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.0374332,0,0,0.013369,0,0.0274284,0,0,0.71123,0.139037,0.149733,0.28877,0,2742.84,2742.84
intervention,1,2010,male,4,392,4,16,64,1,-0.0100136,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0382653,0,0,0.0127551,0,0.0252295,0,0,0.581633,0.173469,0.244898,0.418367,0,2522.95,2522.95
intervention,1,2010,female,4,375,4,16,64,0,-0.0665821,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.0533333,0,0,0.008,0,0.0274284,0,0,0.626667,0.154667,0.218667,0.373333,0,2742.84,2742.84
intervention,1,2010,male,5,388,5,25,125,1,0.00341351,151.967,95.7408,2.87995,3282.05,3113.23,17.3039,0,0.0515464,0,0,0.0154639,0,0.0319848,0,0,0.523196,0.188144,0.28866,0.476804,0,3198.48,3198.48
intervention,1,2010,female,5,370,5,25,125,0,-0.069019,134.694,91.9668,2.82233,2917.82,2427.67,17.2304,0,0.0621622,0,0,0.0162162,0,0.03555,0,0,0.551351,0.2,0.248649,0.448649,0,3555,3555
intervention,1,2010,male,6,386,6,36,216,1,0.0157658,157.281,99.0012,2.99603,3392.26,3069.35,17.627,0,0.0595855,0,0,0.0181347,0,0.0319848,0,0,0.463731,0.284974,0.251295,0.536269,0,3198.48,3198.48
intervention,1,2010,female,6,369,6,36,216,0,-0.0635183,137.602,93.7278,2.90375,2977.26,2394.84,17.5829,0,0.0623306,0,0,0.0108401,0,0.03555,0,0,0.509485,0.254743,0.235772,0.490515,0,3555,3555
intervention,1,2010,male,7,387,7,49,343,1,0.0646565,162.148,101.989,3.10369,3494.56,3029.97,17.8475,0,0.0671835,0,0,0.0103359,0,0.0319848,0,0,0.50646,0.286822,0.206718,0.49354,0,3198.48,3198.48
intervention,1,2010,female,7,370,7,49,343,0,0.0901013,140.306,95.4039,2.9798,3030.87,2372.11,17.805,0,0.0540541,0,0,0.0243243,0,0.03555,0,0,0.494595,0.362162,0.143243,0.505405,0,3555,3555
intervention,1,2010,male,8,392,8,64,512,1,-0.0383163,166.629,104.741,3.20373,3590.21,2989.53,18.0643,0,0.0765306,0,0,0.0255102,0,0.0319848,0,0,0.528061,0.331633,0.140306,0.471939,0,3198.48,3198.48
intervention,1,2010,female,8,375,8,64,512,0,0.00371794,142.769,97.011,3.05214,3079.65,2357.59,17.9541,0,0.0506667,0,0,0.0293333,0,0.03555,0,0,0.573333,0.32,0.106667,0.426667,0,3555,3555
intervention,1,2010,male,9,399,9,81,729,1,-0.0608024,170.897,107.344,3.2984,3681.66,2943.88,18.5265,0,0.075188,0,0,0.0175439,0,0.0319848,0,0,0.551378,0.328321,0.120301,0.448622,0,3198.48,3198.48
intervention,1,2010,female,9,381,9,81,729,0,0.0536506,145.005,98.5776,3.12299,3125.56,2346.35,18.2958,0,0.0446194,0,0.00262467,0.023622,0,0.03555,0,0,0.629921,0.301837,0.0682415,0.370079,0,3555,3555
intervention,1,2010,male,10,398,10,100,1000,1,0.0765931,175.156,109.906,3.39065,3771.64,2893.07,18.5384,0,0.0552764,0,0,0.0226131,0,0.0489486,0,0,0.582915,0.359296,0.0577889,0.417085,0,4894.86,4894.86
intervention,1,2010,female,10,379,10,100,1000,0,0.00194669,147.07,100.127,3.19378,3170.52,2333.51,18.5438,0,0.0448549,0,0,0.0211082,0,0.0622047,0,0,0.654354,0.295515,0.0501319,0.345646,0,6220.47,6220.47
intervention,1,2010,male,11,391,11,121,1331,1,-0.0680917,179.591,112.537,3.48432,3863.09,2841.52,18.9925,0,0.0613811,0,0,0.0358056,0,0.0489486,0,0,0.641944,0.294118,0.0639386,0.358056,0,4894.86,4894.86
intervention,1,2010,female,11,371,11,121,1331,0,-0.0134488,149.044,101.677,3.26502,3215.92,2317,18.8242,0,0.0808625,0,0,0.0458221,0,0.0622047,0,0,0.714286,0.245283,0.0404313,0.285714,0,6220.47,6220.47
intervention,1,2010,male,12,385,12,144,1728,1,0.109618,184.363,115.357,3.58466,3959.55,2796.59,19.2328,0,0.0597403,0,0,0.025974,0,0.0489486,0,0,0.664935,0.306494,0.0285714,0.335065,0,4894.86,4894.86
intervention,1,2010,female,12,366,12,144,1728,0,-0.00400166,151.016,103.247,3.33733,3262.74,2299.25,19.3363,0,0.0765027,0,0,0.0409836,0,0.0622047,0,0,0.73224,0.237705,0.0300546,0.26776,0,6220.47,6220.47
intervention,1,2010,male,13,382,13,169,2197,1,0.035917,189.623,118.504,3.69839,4065.58,2769.69,19.6261,0,0.0445026,0,0,0.0183246,0,0.0489486,0,0,0.727749,0.246073,0.026178,0.272251,0,4894.86,4894.86
intervention,1,2010,female,13,363,13,169,2197,0,-0.000369462,153.076,104.876,3.41291,3311.85,2290.44,19.4624,0,0.0578512,0,0.00275482,0.0385675,0,0.0622047,0,0,0.820937,0.15978,0.0192837,0.179063,0,6220.47,6220.47
intervention,1,2010,male,14,383,14,196,2744,1,0.00100821,195.512,122.131,3.83226,4186.46,2782.48,19.6933,0,0.0574413,0,0,0.0391645,0,0.0489486,0,0,0.770235,0.198433,0.0313316,0.229765,0,4894.86,4894.86
intervention,1,2010,female,14,365,14,196,2744,0,0.0101485,155.309,106.617,3.49611,3364.25,2314.44,19.9337,0,0.0547945,0,0.00273973,0.0712329,0,0.0622047,0,0,0.821918,0.153425,0.0246575,0.178082,0,6220.47,6220.47
intervention,1,2010,male,15,378,15,225,3375,1,-0.0223351,202.099,126.365,3.99005,4326.49,2874.8,20.2857,0,0.0687831,0,0,0.0608466,0,0.0662947,0,0,0.767196,0.208995,0.0238095,0.232804,0,6629.47,6629.47
intervention,1,2010,female,15,360,15,225,3375,0,-0.0340195,157.763,108.529,3.59212,3420.39,2413.98,20.5018,0,0.0583333,0,0,0.0611111,0,0.0918014,0,0,0.822222,0.169444,0.00833333,0.177778,0,9180.14,9180.14
intervention,1,2010,male,16,376,16,256,4096,1,0.0115857,209.228,131.207,4.16841,4485.54,3102.54,20.4351,0,0.0638298,0,0,0.0452128,0,0.0662947,0,0,0.800532,0.175532,0.0239362,0.199468,0,6629.47,6629.47
intervention,1,2010,female,16,359,16,256,4096,0,-0.0469746,160.411,110.639,3.70392,3478.99,2644.63,20.7114,0,0.0640669,0,0,0.0612813,0,0.0918014,0,0,0.852368,0.125348,0.0222841,0.147632,0,9180.14,9180.14
intervention,1,2010,male,17,387,17,289,4913,1,-0.0612062,216.374,136.432,4.354,4655.23,3516.48,20.9481,0,0.0361757,0,0.00516796,0.0413437,0,0.0662947,0,0,0.847545,0.131783,0.0206718,0.152455,0,6629.47,6629.47
intervention,1,2010,female,17,368,17,289,4913,0,-0.0270451,163.112,112.914,3.82909,3536.1,3050.78,21.3135,0,0.0788043,0,0,0.048913,0,0.0918014,0,0,0.86413,0.125,0.0108696,0.13587,0,9180.14,9180.14
intervention,1,2010,male,18,397,18,324,5832,1,-0.000967817,222.662,141.551,4.52482,4818.05,4125.21,21.5432,0,0.0680101,0,0,0.0554156,0,0.0662947,0,0,0.84131,0.143577,0.0151134,0.15869,0,6629.47,6629.47
intervention,1,2010,female,18,380,18,324,5832,0,0.0173293,165.63,115.245,3.95848,3585.66,3629.59,21.9299,0,0.0684211,0,0,0.0868421,0,0.0918014,0,0,0.821053,0.178947,0,0.178947,0,9180.14,9180.14
intervention,1,2010,male,19,399,19,361,6859,1,0.0119473,227.141,145.938,4.65716,4951.83,4866.45,22.912,0,0.0526316,0,0.00250627,0.047619,0,0.0662947,0,0,0.694236,0.255639,0.0501253,0.305764,0,6629.47,6629.47
intervention,1,2010,female,19,383,19,361,6859,0,0.00233858,167.709,117.468,4.07838,3621.59,4308.28,23.324,0,0.078329,0,0,0.075718,0,0.0918014,0,0,0.712794,0.219321,0.0678851,0.287206,0,9180.14,9180.14
intervention,1,2010,male,20,396,20,400,8000,1,-0.101008,229.221,149.066,4.73577,5038.89,5611.81,26.8849,0,0.040404,0,0.00252525,0.040404,0,0.0731558,0,0,0.335859,0.459596,0.204545,0.664141,0,7315.58,7315.58
intervention,1,2010,female,20,383,20,400,8000,0,-0.0282543,169.174,119.411,4.17544,3640.49,4957.31,25.4829,0,0.0704961,0,0,0.0835509,0,0.10905,0,0,0.477807,0.407311,0.114883,0.522193,0,10905,10905
intervention,1,2010,male,21,391,21,441,9261,1,0.039209,228.985,150.741,4.76109,5074.35,6212.99,26.4703,0,0.0358056,0,0.00255754,0.0485934,0,0.0731558,0,0,0.360614,0.465473,0.173913,0.639386,0,7315.58,7315.58
intervention,1,2010,female,21,383,21,441,9261,0,-0.083943,169.977,120.938,4.24167,3642.89,5442.55,25.436,0,0.0939948,0,0.00522193,0.0939948,0,0.10905,0,0,0.475196,0.402089,0.122715,0.524804,0,10905,10905
intervention,1,2010,male,22,387,22,484,10648,1,0.0194964,227.15,151.165,4.74859,5068.07,6562.85,26.7848,0,0.0516796,0,0,0.0852713,0,0.0731558,0,0,0.333333,0.490956,0.175711,0.666667,0,7315.58,7315.58
intervention,1,2010,female,22,381,22,484,10648,0,0.00146256,170.183,121.984,4.27667,3632.47,5684.25,25.2238,0,0.0734908,0,0.00524934,0.0813648,0,0.10905,0,0,0.47769,0.39895,0.12336,0.52231,0,10905,10905
intervention,1,2010,male,23,383,23,529,12167,1,-0.037739,224.696,150.8,4.72004,5038.48,6635.12,26.1004,0,0.0548303,0,0,0.0548303,0.00261097,0.0731558,0,0,0.417755,0.430809,0.151436,0.582245,0,7315.58,7315.58
intervention,1,2010,female,23,382,23,529,12167,0,0.0519449,169.906,122.549,4.28603,3613.92,5686.24,25.3136,0,0.0628272,0,0.0026178,0.102094,0,0.10905,0,0,0.5,0.366492,0.133508,0.5,0,10905,10905
intervention,1,2010,male,24,379,24,576,13824,1,0.0506082,222.409,150.124,4.69272,5003.03,6479.78,26.1688,0,0.0712401,0,0,0.0580475,0,0.0731558,0,0,0.416887,0.411609,0.171504,0.583113,0,7315.58,7315.58
