source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,male,0,393,0,0,0,1,0.00259491,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.923664,0.0483461,0.0279898,0.0763359,0,0,0
baseline,1,2010,female,0,377,0,0,0,0,-0.0232027,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.909814,0.0503979,0.0397878,0.0901857,0,0,0
baseline,1,2010,male,1,391,1,1,1,1,-0.00706188,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0664962,0,0,0.00255754,0,0.0252295,0,0,0.867008,0.0613811,0.0716113,0.132992,0,2522.95,2522.95
baseline,1,2010,female,1,375,1,1,1,0,-0.0479497,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0426667,0,0,0.00266667,0,0.0274284,0,0,0.885333,0.0453333,0.0693333,0.114667,0,2742.84,2742.84
baseline,1,2010,male,2,390,2,4,8,1,0.0359473,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0358974,0,0,0.0025641,0,0.0252295,0,0,0.805128,0.0923077,0.102564,0.194872,0,2522.95,2522.95
baseline,1,2010,female,2,373,2,4,8,0,-0.00253238,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0428954,0,0,0.0134048,0,0.0274284,0,0,0.844504,0.080429,0.075067,0.155496,0,2742.84,2742.84
baseline,1,2010,male,3,392,3,9,27,1,0.0776544,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0612245,0,0,0.0127551,0,0.0252295,0,0,0.752551,0.0663265,0.181122,0.247449,0,2522.95,2522.95
baseline,1,2010,female,3,374,3,9,27,0,-0.142299,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.0320856,0,0,0.0106952,0,0.0274284,0,0,0.700535,0.136364,0.163102,0.299465,0,2742.84,2742.84
baseline,1,2010,male,4,392,4,16,64,1,-0.0452874,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0561224,0,0,0.00765306,0,0.0252295,0,0,0.614796,0.147959,0.237245,0.385204,0,2522.95,2522.95
baseline,1,2010,female,4,375,4,16,64,0,0.0944418,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.0293333,0,0,0.0133333,0,0.0274284,0,0,0.597333,0.194667,0.208,0.402667,0,2742.84,2742.84
baseline,1,2010,male,5,388,5,25,125,1,-0.00751347,151.967,95.7408,2.87995,3282.05,3113.23,17.3039,0,0.0386598,0,0,0.0103093,0,0.0319848,0,0,0.546392,0.139175,0.314433,0.453608,0,3198.48,3198.48
baseline,1,2010,female,5,370,5,25,125,0,0.00619385,134.694,91.9668,2.82233,2917.82,2427.67,17.2304,0,0.0459459,0,0,0.0162162,0,0.03555,0,0,0.532432,0.232432,0.235135,0.467568,0,3555,3555
baseline,1,2010,male,6,386,6,36,216,1,-0.0485937,157.281,99.0012,2.99603,3392.26,3069.35,17.627,0,0.0544041,0,0,0.0181347,0,0.0319848,0,0,0.492228,0.238342,0.26943,0.507772,0,3198.48,3198.48
baseline,1,2010,female,6,369,6,36,216,0,0.0391869,137.602,93.7278,2.90375,2977.26,2394.84,17.5829,0,0.0569106,0,0,0.0271003,0,0.03555,0,0,0.523035,0.265583,0.211382,0.476965,0,3555,3555
baseline,1,2010,male,7,387,7,49,343,1,-0.0528646,162.148,101.989,3.10369,3494.56,3029.97,17.8475,0,0.0568475,0,0,0.0180879,0,0.0319848,0,0,0.527132,0.232558,0.24031,0.472868,0,3198.48,3198.48
baseline,1,2010,female,7,370,7,49,343,0,0.0860534,140.306,95.4039,2.9798,3030.87,2372.11,17.805,0,0.0594595,0,0,0.0189189,0,0.03555,0,0,0.52973,0.340541,0.12973,0.47027,0,3555,3555
baseline,1,2010,male,8,392,8,64,512,1,0.0561838,166.629,104.741,3.20373,3590.21,2989.53,18.0643,0,0.0612245,0,0,0.00765306,0,0.0319848,0,0,0.533163,0.329082,0.137755,0.466837,0,3198.48,3198.48
baseline,1,2010,female,8,375,8,64,512,0,-0.0596337,142.769,97.011,3.05214,3079.65,2357.59,17.9541,0,0.0506667,0,0,0.032,0,0.03555,0,0,0.592,0.304,0.104,0.408,0,3555,3555
baseline,1,2010,male,9,399,9,81,729,1,0.0176485,170.897,107.344,3.2984,3681.66,2943.88,18.5265,0,0.0651629,0,0,0.0200501,0,0.0319848,0,0,0.54386,0.348371,0.107769,0.45614,0,3198.48,3198.48
baseline,1,2010,female,9,381,9,81,729,0,-0.0103911,145.005,98.5776,3.12299,3125.56,2346.35,18.2958,0,0.0813648,0,0,0.0498688,0,0.03555,0,0,0.603675,0.325459,0.0708661,0.396325,0,3555,3555
baseline,1,2010,male,10,398,10,100,1000,1,0.101859,175.156,109.906,3.39065,3771.64,2893.07,18.5384,0,0.0829146,0,0,0.0175879,0,0.0489486,0,0,0.603015,0.324121,0.0728643,0.396985,0,4894.86,4894.86
