Age,Carb,Fat,Protein,Sodium,PAL,Energy,weight,height,BMI,BMR,PA
0,215.9092376,40.64831272,35.32906363,2.166654035,1.6,1370.788019,3.5,53,12.45995016,389.5985,623.3576
1,218.9099791,41.11178865,35.79293508,2.196174319,1.6,1388.817755,9,74,16.43535427,558.384,893.4144
2,224.7859501,42.02377945,36.7023567,2.253899837,1.6,1424.167242,12,87,15.85414189,655.285,1048.456
3,233.3035422,43.35602785,38.02313766,2.337389067,1.6,1475.51097,14,96,15.19097222,719.593,1151.3488
4,244.1504117,45.06974714,39.70934089,2.443393189,1.6,1541.066735,16,103,15.08153455,774.303,1238.8848
5,256.9678513,47.11859341,41.70780775,2.568211064,1.6,1618.769977,17,109,14.30855989,810.817,1297.3072
6,271.3769876,49.45097244,43.96178975,2.70798283,1.6,1706.413861,19,115,14.36672968,860.728,1377.1648
7,286.9925886,52.01117523,46.41282889,2.858856019,1.6,1801.722247,22,121,15.02629602,924.036,1478.4576
8,303.4233299,54.73938492,49.00075837,3.017010135,1.6,1902.350817,25,126,15.74703956,982.545,1572.072
9,320.2627137,57.57112701,51.66245494,3.178580122,1.6,2005.840818,28,132,16.0697888,1045.853,1673.3648
10,337.078717,60.43705526,54.33051347,3.339557332,1.6,2109.570419,31,137,16.51659652,1104.362,1766.9792
11,353.4113857,63.263983,56.93315866,3.495757576,1.6,2210.754024,35,143,17.11575138,1181.067,1889.7072
12,368.7856358,65.97777721,59.39641009,3.642926208,1.6,2306.528179,39,149,17.56677627,1257.772,2012.4352
13,382.7419447,68.50820983,61.64884995,3.777006084,1.6,2394.137067,43,154,18.13121943,1329.678,2127.4848
14,394.8816563,70.79523527,63.62848751,3.894537836,1.6,2471.197693,48,160,18.75,1419.78,2271.648
15,404.9180172,72.79559904,65.2904077,3.993109612,1.6,2535.994091,53,165,19.46740129,1505.083,2408.1328
16,412.7205567,74.48833939,66.61339111,4.07174173,1.6,2587.730846,57,168,20.19557823,1567.391,2507.8256
17,418.3403684,75.87775844,67.60368436,4.131092541,1.6,2626.676037,59,171,20.17714852,1602.905,2564.648
18,422.0075841,76.99285602,68.29463962,4.173408274,1.6,2654.144599,62,174,20.47826661,1651.816,2642.9056
19,424.0989993,77.88296658,68.74191046,4.202202708,1.6,2672.310338,62,174,20.47826661,1646.139,2633.8224
20,425.0814395,78.61022176,69.01500812,4.221723619,1.6,2683.877786,62,174,20.47826661,1640.462,2624.7392
21,425.4426623,79.24021366,69.18693689,4.236318652,1.6,2691.68032,62,174,20.47826661,1634.785,2615.656
22,425.624356,79.83262704,69.32405302,4.249835515,1.6,2698.287279,62,174,20.47826661,1629.108,2606.5728
23,425.9703743,80.43353318,69.47810528,4.265173818,1.6,2705.695717,62,174,20.47826661,1623.431,2597.4896
24,426.6984255,81.0705513,69.6817195,4.284056718,1.6,2715.155542,62,174,20.47826661,1617.754,2588.4064
25,427.8968804,81.75137559,69.94764564,4.30702913,1.6,2727.140485,62,174,20.47826661,1612.077,2579.3232
26,429.5423883,82.46546594,70.2712131,4.333636355,1.6,2741.443599,62,174,20.47826661,1606.4,2570.24
27,431.5302899,83.18818772,70.63487923,4.362707976,1.6,2757.354366,62,174,20.47826661,1600.723,2561.1568
28,433.7090294,83.88642667,71.01359983,4.39266998,1.6,2773.868357,62,174,20.47826661,1595.046,2552.0736
29,435.9114299,84.52466967,71.3799387,4.421826742,1.6,2789.887502,62,174,20.47826661,1589.369,2542.9904
30,437.9786808,85.07065109,71.70821148,4.448581462,1.6,2804.383429,62,174,20.47826661,1583.692,2533.9072
31,439.775922,85.49984755,71.97736303,4.471587484,1.6,2816.511768,62,174,20.47826661,1578.015,2524.824
32,441.2005117,85.79833128,72.17259511,4.489837821,1.6,2825.677409,62,174,20.47826661,1572.338,2515.7408
33,442.1850893,85.96375889,72.28594579,4.502705458,1.6,2831.557971,62,174,20.47826661,1566.661,2506.6576
34,442.6975292,86.00457452,72.31609228,4.509946317,1.6,2834.095656,62,174,20.47826661,1560.984,2497.5744
35,442.7392409,85.93780528,72.26764057,4.511674159,1.6,2833.467773,62,174,20.47826661,1555.307,2488.4912
