"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
6.51,2.53,2.79,0.77,1.8,3.56,2.83,2.33,2.72,6.54,7.59,-1.57,-0.1,-2.49,0.53,-0.5,3.88,4.1,3.44,0.97,3.19
2.53,5.43,2.13,0.76,2.04,1.57,4.83,5.42,5.22,2.12,2.3,-0.27,0.03,-0.87,0.77,0.46,2.18,2.63,0.44,1.17,2.25
2.79,2.13,3.23,0.92,1.67,2.12,2.34,1.98,1.95,2.33,2.06,-1.75,-0.11,-3.17,1.35,-0.08,3.34,2.83,1.1,1.03,3.07
0.77,0.76,0.92,66.7,0.53,-0.32,0.94,0.93,0.56,0.71,1.11,-1.01,-0.08,-3.83,1.75,0.59,1,1.43,0.16,-1.12,1.46
1.8,2.04,1.67,0.53,66.82,1.56,1.54,2.38,3.03,0.74,0.84,0.34,0.09,-0.19,0.03,0.28,1.25,2.36,1.7,-0.72,1.53
3.56,1.57,2.12,-0.32,1.56,11.02,1.49,1.59,2.54,1.42,1.03,0.81,0.12,2.79,-1.35,-0.53,1.5,5.58,0.84,3.09,2.57
2.83,4.83,2.34,0.94,1.54,1.49,6.98,4.35,3.17,2.91,3.02,-1.03,0,-2.27,1.53,0.44,3.24,2.71,0.56,1.03,2.78
2.33,5.42,1.98,0.93,2.38,1.59,4.35,7.27,5.7,1.77,1.9,0.35,0.04,0.3,0.36,0.55,1.46,2.85,0.12,1.77,1.77
2.72,5.22,1.95,0.56,3.03,2.54,3.17,5.7,14.94,1.7,2.07,0.24,0.08,-0.9,-0.11,0.27,1.2,3.05,0.77,1.24,1.7
6.54,2.12,2.33,0.71,0.74,1.42,2.91,1.77,1.7,11.58,14.81,-2.62,-0.14,-4.56,1.78,-0.15,4.66,2.51,6.21,-0.08,2.58
7.59,2.3,2.06,1.11,0.84,1.03,3.02,1.9,2.07,14.81,26.2,-2.67,-0.1,-5.29,2.2,-0.02,4.15,1.98,8.66,-0.24,2.09
-1.57,-0.27,-1.75,-1.01,0.34,0.81,-1.03,0.35,0.24,-2.62,-2.67,8.54,1,14.39,-1.32,3.2,-4.8,-0.63,-1.04,0.97,-1.78
-0.1,0.03,-0.11,-0.08,0.09,0.12,0,0.04,0.08,-0.14,-0.1,1,0.57,1.74,0.44,0.73,-0.51,0,0.12,0.21,0.01
-2.49,-0.87,-3.17,-3.83,-0.19,2.79,-2.27,0.3,-0.9,-4.56,-5.29,14.39,1.74,63.3,-5.99,4.07,-8.17,-0.18,-2.66,2.07,-3.12
0.53,0.77,1.35,1.75,0.03,-1.35,1.53,0.36,-0.11,1.78,2.2,-1.32,0.44,-5.99,15.72,5.55,1.55,0.24,0.66,0.49,2.07
-0.5,0.46,-0.08,0.59,0.28,-0.53,0.44,0.55,0.27,-0.15,-0.02,3.2,0.73,4.07,5.55,7.28,-1.37,-0.12,-0.39,-0.29,0.34
3.88,2.18,3.34,1,1.25,1.5,3.24,1.46,1.2,4.66,4.15,-4.8,-0.51,-8.17,1.55,-1.37,7.44,2.51,1.84,-0.71,3.76
4.1,2.63,2.83,1.43,2.36,5.58,2.71,2.85,3.05,2.51,1.98,-0.63,0,-0.18,0.24,-0.12,2.51,17.24,0.79,3.45,3.93
3.44,0.44,1.1,0.16,1.7,0.84,0.56,0.12,0.77,6.21,8.66,-1.04,0.12,-2.66,0.66,-0.39,1.84,0.79,19.22,0.34,1.06
0.97,1.17,1.03,-1.12,-0.72,3.09,1.03,1.77,1.24,-0.08,-0.24,0.97,0.21,2.07,0.49,-0.29,-0.71,3.45,0.34,141.64,3.1
3.19,2.25,3.07,1.46,1.53,2.57,2.78,1.77,1.7,2.58,2.09,-1.78,0.01,-3.12,2.07,0.34,3.76,3.93,1.06,3.1,20.38
