"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"Intercept",-5.57678287662109,-6.10442893976822,-2.21564778293789,0.311032873538129,-1.90924639744981,-2.44229500018021,-6.87888332417426,-5.34146373332007,-5.53211529413812,-6.37130194977709,-9.92895289061305,-0.209600704438497,-0.814550533140455,5.38918897554837,-1.39530531088701,2.49303448546053,-2.04358511280842,-3.97164046635178,-1.77331186287128,-3.7424285420347,-2.13771735581231
"gender2",0.0266714398611015,0.0660960859622015,0.00659740757623202,-0.2388361423655,0.0138031024829191,0.0497347899798254,0.0633545571679064,0.0450753020185401,0.0623877736487308,-0.00479274767638068,-0.0358327011849255,-0.0629203786960464,0.00132917641069188,-0.347811411405619,-0.0114095549269263,0.0542774313925959,-0.01497082656644,0.0685960745990378,-0.0446363274144057,0.064236253217324,0.0243930331411904
"age1",0.000437337884445463,0.00839877220831983,0.0024034725680138,0.0258294718057458,0.00632446091211579,-0.00010833973918384,0.00892754792287116,0.00954974333607054,0.00700351879811878,-0.00232377936499108,-0.00595975889524338,0.00774402580013703,0.000279654926668505,0.0259583201455627,-0.000479518207585262,-0.00351852117154154,0.00320333285442994,-0.00166280713339054,0.000983567409583782,-0.00426923261133377,-0.00123082546802999
"age2",3.48925663592172e-05,-5.69689782762761e-05,-6.61559530885452e-06,-0.000404572335207962,-4.62810473926072e-05,3.10618115329123e-05,1.9478468549356e-05,-0.000102520990910524,-6.3934228546097e-05,5.67050040295286e-05,3.04753825051503e-05,-6.81531967959821e-05,-9.15905707160614e-06,2.84589661877771e-05,-0.000100509234698611,1.70034648917455e-06,5.39144606319653e-06,0.000121066489798866,1.02803520944875e-05,0.000114783878929117,5.35305943006885e-05
"ethnicity2",-0.211759586759208,-0.462505894888482,-0.338337198267456,-0.773638744964372,-1.00448842873829,-0.309323785407152,-0.668445379461046,-0.434052502883023,-0.455399894998877,-0.199239358908559,-0.689943318496165,-0.263777432676928,0.00283939387311403,-0.455419050210503,0.0443336215259111,-0.665094388692063,-0.448962930377668,-0.328856445938747,-0.167884185627877,-0.246581610998677,-0.293446960848261
"ethnicity3",0.298461673860634,0.148095627122246,-0.168261925071025,0.223229733890827,-0.182613417957814,-0.0114336441688549,0.320143641803017,0.143681597727132,-0.0617643004099273,0.685082742719077,0.956295052866098,0.154517427573846,-0.0454600685404027,1.69924266951437,0.105896822706577,-0.0522559076964525,-0.171385531043483,0.109285972966955,0.0803579279388518,0.0525870554498364,-0.14944683436245
"ethnicity4",0.170560788125008,0.196355462367254,-0.0744820525109816,-0.79480132189013,-0.306602158241464,0.140139918644751,0.0700323333827997,0.0992923397258064,0.235413472590824,0.134172327040877,0.0567032097274227,0.00933385361909747,-0.125512008476889,-0.248824248226419,-0.450603313906992,-0.284631796011982,-0.0411847096618758,0.0963380973271711,-0.224405198152133,0.0969249932640109,-0.101608782236371
"income",0.00178542895750138,0.00177347403724803,0.000527699681977933,-0.00181280531274577,0.000894974117916456,0.00148958901208061,0.00195632642780012,0.00250066164966844,0.00115637975990346,0.00154347172619895,0.0015678971832433,0.000544646792362741,0.00169056072579561,0.00380446667977686,0.000596038625815075,-0.00386398872239688,0.000379059671850172,0.00154203958861876,0.000915292779459675,0.0012597902889419,0.00047556975981692
"region2",-0.037215633731746,-0.216117787513046,0.00850246668159446,-0.676529592813913,-0.0289829804114946,-0.260790201867475,-0.310121763100976,-0.260422601556518,-0.146937374314397,0.0120738687417648,-0.0138447446505408,-0.0306908126205431,0.00604111509423278,0.260286618382389,0.0362721285759109,-0.00899874204637134,0.0124814288141451,-0.146747733892146,0.0164820668529106,-0.0547949888900073,-0.0101885252269807
"region3",-0.166660344931646,-0.149166258646904,0.0693110510234075,-0.111477265866942,-0.0116521542549445,-0.0880875144241928,-0.160238169867161,-0.103102938264025,-0.160554408577022,-0.331533585717915,-0.745384629617952,0.0324985519948784,0.0266468186557148,0.206683708895843,-0.0715493197875644,-0.0686995464034534,0.0946371353442216,-0.170611478982746,0.0962704842154068,-0.133005216641344,0.0273056204176558
"region4",-0.219411182117183,-0.304789173544424,-0.0551685310335645,-0.260866015273484,-0.18155202746608,-0.173902831173123,-0.305717908600555,-0.23207161746179,-0.317329340679065,-0.411339557781175,-0.718434093420746,0.0212270527976028,-0.0429810648064394,-0.202304530194597,-0.0981197470133604,-0.0537553092528574,-0.0823700895293011,-0.227017970766275,0.0294536218787794,-0.26349223558225,-0.0652879931741493
"EnergyIntake",0.233017619649305,0.259324386227419,0.132551010430305,0.0414999727344132,0.023700545690747,0.0970551249365802,0.256301516967744,0.266016694623019,0.18907502388996,0.172993403570956,0.449214214807653,-0.186813625994302,0.0211141806228611,-1.66226976062801,0.261122242792768,0.113205046514496,-0.042426326617722,0.20246371931102,0.0303089068356668,0.220948948270297,0.132302337660967
"min",-11.6902339,-14.0074811,-8.4011492,-60.5143466,-9.3841531,-12.3419779,-14.444928,-13.0036358,-12.937444,-12.9513318,-27.4175713,-4.4781528,-2.6296984,-56.317604,-4.3734875,-11.79218,-10.3139857,-10.0859236,-15.052977,-11.7745411,-8.1347984
"max",13.9418353,6.8884365,5.5259952,56.3082979,42.6216436,9.7602604,10.0060292,24.2081218,5.012523,8.6561868,81.9130197,0.2129348,10.400776,0.0414153,9.8709859,7.1724728,4.9698778,26.3802135,5.598695,11.9859671,3.8826719
