"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"Intercept",-9.22077670975393,-8.17260376016985,-3.07912948493527,2.80234181174178,2.71772380968257,-2.36007224934363,-9.25991681159905,-6.44997078821003,-7.25987179886763,-10.1704002122244,-17.296292404456,-0.498173527681578,-2.78481661939206,8.24117927023484,-2.14286180622471,6.66058332721549,-4.04261498666507,-6.19487856732389,-2.64835100000005,-0.403652292344774,-2.65478319437663
"gender2",0.0698646937959616,0.0933042917677502,0.0112888177801351,-0.00467825313790999,-0.159028846012583,-0.0503279236505817,0.0939192865078775,0.0553553730355384,0.117379665546699,0.0234595315177556,0.134622147859499,-0.0547205726444615,-0.0635364999237246,-0.367830942657261,-0.0440974167424562,0.0791295522359457,-0.0264439056154174,0.153606743747848,0.0801576580495192,-0.0913411344722056,-0.0269278446312257
"age1",-0.00324070796978979,0.0111254063448072,0.00489641179914989,0.0340674015962384,0.0468806229007241,0.00173969133376144,0.0134771252539006,0.0162642298570228,0.00402095353527961,-0.0137697936590173,-0.0354262362090608,0.0106784784233228,0.0120452688811538,0.0199210163768038,-0.00194470234415866,-0.0152132093989739,0.00230350656602482,0.0228522022303938,-0.0209084531503632,0.00702667137118622,0.0041606721362913
"age2",9.43417307846933e-05,-0.000104258716979451,-5.58057765194688e-05,-0.00047431760305703,-0.000568264276215415,1.29651145594541e-05,-7.5869584594104e-05,-0.000216722434294474,-1.86452466920909e-05,0.00027159309099382,0.000441737377062001,-0.000136719753183009,-0.000149189442121676,5.65686813148135e-05,-0.000171498228463903,9.7555187255142e-05,7.83364191523104e-05,-0.000182145971266159,2.56964610905414e-05,-0.0002749171124957,-9.73929807200424e-05
"ethnicity2",0.125849735722547,-0.424358417262516,-0.126471095082069,-0.347945211802931,-1.26586181817345,0.523257409778931,-0.767482957563303,-0.719488795373979,-0.471907039490317,0.0576532843144271,-0.0673457135746145,-0.404119702007262,0.018759323461729,-0.849264372304112,0.338904723943764,-1.45578290414864,-0.428109835785765,-0.0157076619200073,0.00916288001722426,2.36756301672168,0.247950792357578
"ethnicity3",0.548181863466253,0.2140673222501,-0.00220038277064604,1.20448593329621,-0.425788887103758,0.8417513851338,0.423654074353814,0.192145890961365,-0.250957503861905,0.961648879513632,1.36688431102701,0.0727332479881198,-0.125450724356684,2.17339693636421,0.0185467704207914,-0.648506618059283,-0.432383620421292,-0.811627795548083,0.742328730168309,2.69235957899355,0.860992944994064
"ethnicity4",0.369988063389184,0.273679703804223,-0.247049327960215,1.82894228212261,0.824367512053445,0.929255681288907,0.0878182550423933,-0.107133378747296,0.419964384774043,0.126385292260728,0.0902681792504316,0.0793152773854877,-0.32019223196718,0.228642705436251,-0.959217419535598,-1.18977923331254,-0.0731674165680521,0.430368598599552,-0.762986910383848,0.773492576310248,-0.42565836802281
"income",0.00446081799955925,0.00207934991141212,0.000970980645168519,-0.006020658695764,0.00174449289971515,0.00430962848374058,0.00196747906270601,0.00410240948888924,0.0011249968936172,0.00420488573839223,0.00429256310251711,0.00173181647232765,0.00457416202050823,0.00211330202686997,-0.000666728660726423,-0.00943375548198496,0.00164706618292548,0.00291926400994843,0.00434540720887855,0.00210446763031856,0.000882472446203154
"region2",-0.178353070060942,-0.18507623918162,-0.0228610889054577,0.0619820940419503,-0.612132718695984,-0.384958540010647,-0.456238128925315,-0.502032793513189,-0.0316577792451942,-0.32435803452311,-0.263175244534484,0.111057165686947,0.0704086330069483,-0.340380298661001,-0.105873553921241,-0.0109317468176078,0.0159911412101062,-0.370149481169469,-0.575272988907149,-0.0123463194754621,-0.170358254841089
"region3",-0.246550875098226,-0.313170459364554,0.00890400279333749,-0.482593925534906,-0.216796156470912,0.190243757296145,-0.17567916156483,-0.256918913463961,-0.427941550895999,-0.703811305474265,-1.49053358409194,0.324718792178472,0.071936040789619,0.111066327349881,-0.364862292455165,-0.46180549407023,0.0607514307948366,0.533281202181637,-0.781839533992036,-0.93753227283117,-0.452622790107775
"region4",-0.64914509927493,-0.483659568074635,-0.1851410466753,0.00863692279435409,-0.803647626949231,-0.574261785104616,-0.328987278873522,-0.298750574256371,-0.493610252373057,-0.87249306731632,-1.45488463495884,0.199547806592634,-0.169720807684122,0.0104428655772421,-0.257617500174717,-0.228247634359244,-0.230833532402147,-0.817240043551085,-0.489229394854695,-0.785406526851917,-0.40195082007152
"EnergyIntake",0.124625267366496,0.315662624414874,0.0236655116223282,0.0477218366661999,-0.82063765729051,-0.495736120402734,0.399594838673243,0.0609589198549488,0.225842290552423,0.013715267257403,0.56783379829854,-0.173683252277169,-0.0358472712200145,-1.94063565359256,0.55441702499523,0.241535831956133,-0.0967445884165646,-0.0614755906487362,0.124159150053979,-0.403007684453726,-0.0308290166774669
"min",-16.7701863,-15.5279503,-11.9047619,-100,-50,-16.6666667,-20,-25,-18.75,-23.0769231,-50,-10.951442,-13.76467,-69.303364,-8.0255143,-14.875178,-16.7330677,-25,-25,-100,-25
"max",7.7922078,7.5,5,100,100,10.5263158,14.2857143,10,12.5,7.2727273,25,1.6922517,4.6032187,6.423641,19.537306,16.219693,6.7538126,25,20.8333333,100,25
