"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"Intercept",-5.36540880850456,-4.79549101335386,-3.7491464047893,4.06753046619247,-0.477883597170058,-3.85619637762784,-4.70462142629011,-2.42973673216132,-5.47520131894968,-6.71903920200867,-8.59398571980297,0.845960336882875,-1.49280223219698,9.25124545365832,6.82383348696543,0.18030672494358,-6.16322382533115,-5.66233962769478,-2.56507657267213,1.65288777571411,-1.46609402270488
"gender2",-0.0485620203823802,-0.0628709753859569,-0.0915647521520091,0.141508821111389,-0.428767117069305,-0.104799170575673,-0.0513544049763559,-0.133017468769353,-0.0501090895491978,-0.00491377836930522,0.0400847397246675,-0.0364122505590954,-0.0566610149632817,-0.452529207328023,-0.217203225300302,-0.0427173888069237,-0.062996578857572,0.0395508744973233,-0.0135398907836035,0.0103997316001649,-0.250810250569158
"age1",0.0171913715894949,0.0124857729943394,0.0144840602122893,0.00288960772502958,0.0525535654510525,0.0192898030806538,0.0121384162160355,0.011200967531412,0.00605257462900198,0.00438818610563784,-0.000526754485416998,0.00411488334893809,0.0057893363278341,0.0365478436297724,0.0315743712940341,0.000413557819683207,0.0113041127838062,0.0337776023070582,-0.013914241045834,0.048878410779781,0.028472917981603
"age2",-0.000207899723245997,-0.000174774119005971,-0.000194313693134775,-7.71135152801288e-05,-0.000670712820191067,-0.000220401104810434,-0.000177468806251276,-0.000157791412066404,-9.26610347675486e-05,-1.43552822009401e-05,-5.87320279287455e-06,-1.68183941570555e-05,-2.79554696077794e-05,-0.000116400878553831,-0.000114149953191791,-1.53455010753585e-05,-0.000127713915699526,-0.000282900574314024,-0.000257203891873576,-0.000591499126917124,-0.000410405839002707
"ethnicity2",-0.439800229540658,0.0675347667412012,-0.0974393506722534,-0.691456133755664,-0.256559112787091,0.226841589629345,0.183797692870473,-0.0153876450773195,-0.0388099947882047,-0.296517598233938,-0.409130027425487,-0.200624921569536,-0.158655274457673,-0.329431241419514,0.471380221215708,0.810285856181537,-0.219400673631157,-0.290452604661829,-1.48095337154771,-0.0878885035148677,-0.399540815067657
"ethnicity3",-0.0988246538220916,0.426057479383284,0.312491299469173,0.528345524073244,-0.205374997328634,0.406509753798078,0.537887322185095,0.911458633245238,-0.0293803391026715,-0.106005110605224,0.0453907980040289,0.227783865547157,0.0478191700371181,1.48649774220569,0.655624751500771,0.480179105468145,-0.268880715050232,-0.520694072788289,-0.0849659803573027,-0.556332496092122,0.785263693682765
"ethnicity4",-0.27555581717842,0.41933769875927,-0.266660400976228,1.84434305480509,0.844117274053251,-0.0124713421764417,0.397653463190742,0.122514615828071,0.419790401571342,-0.24058385896422,-0.229224876693526,0.192750529068506,0.0360421781405011,-0.848694661243441,0.561407063076647,0.600312001610958,-0.426214874107043,-0.445884612336875,-0.738361899403838,1.54928871389378,-0.53969195072837
"income",0.00302354314997205,0.00243665659561801,0.00254118679612413,-0.00435212710598771,0.00168866770798582,0.00224554529546198,0.00250846345593282,0.00323483523840519,0.00204772238055788,0.0036802680325048,0.00382668672442309,-0.00204783614136842,0.00234058872733,-0.0015355028101797,-0.00528226354059867,-0.00162990778513579,0.00394033262683935,0.00321998537124884,0.00268459080260291,-1.54670259908802e-05,0.00184752031249409
"region2",-0.0759661584111029,-0.0143909654401097,0.00777256010683222,0.361285930549313,-0.440807781687319,-0.0922651344388058,-0.225329849828379,-0.0817164024681625,0.0036844370293184,-0.0437331347553777,0.0345615883540327,-0.0823382304248344,0.0553381422711334,0.482989581147271,-0.0905485032958008,0.0593253954155475,0.13411007293473,0.370214794027054,0.00454430925475523,-0.745753275698261,-0.298756996009176
"region3",-0.111319744005586,-0.131544627625928,-0.0613231540759984,-0.367643830262358,-0.0156378683730496,0.00678271653506501,-0.20637543099433,-0.627843361168925,-0.164317237466368,-0.218627026363301,-0.703839157774626,0.0496096771742618,-0.0571953768377706,0.291501083939944,0.0189390370149283,-0.243898267155949,-0.0927660840905097,-0.0216837917614736,-0.768610142439339,-1.58358377094671,-0.341388353387012
"region4",-0.0461645833627939,-0.0121684012260435,-0.0123356631405112,-0.055445827211462,-0.44980177364833,-0.199393962839663,0.00790644525271778,0.0997814856757145,-0.130081083107318,-0.235520626535524,-0.469349018210999,0.0708827070048299,-0.0802805599239503,-0.331765638954261,-0.472391761541666,-0.300052808255236,-0.0997649985936342,-0.202912647400028,-0.191542059471343,-1.36143696863058,-0.394737709541116
"EnergyIntake",-0.104832524516755,-0.119023966046224,-0.196135869879108,-0.181277529645904,-0.578459419615041,-0.102497590594224,-0.123168908936187,-0.403195124632394,-0.0251974289910065,-0.0526169674748702,0.0954071911941351,-0.173437546716277,-0.167162355877928,-1.93308227140123,-1.29781347012375,-0.227075303881329,-0.0385207048383542,-0.135931166706038,0.474224357454448,-0.634246973418494,-0.448146625469244
"min",-9.89010989010989,-11.1111111111111,-9.43396226415094,-100,-50,-16.6666666666667,-20,-25,-11.1111111111111,-12.0879120879121,-33.3333333333333,-4.56838927595944,-6.67930009945228,-58.2360779326623,-20.6173252147907,-4.8038891473664,-12.0171673819742,-20,-25,-100,-25
"max",2.5974025974026,3.33333333333333,4.87804878048781,100,0,7.69230769230769,14.2857142857143,8.33333333333333,0,4.76190476190476,14.2857142857143,0.687161504122824,0.830506658135718,0,0,1.37753533399122,3.59066427289048,2.38095238095238,25,0,12.5
