"FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodSaturatedFat","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodTotalsugar","FoodAddedsugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
2.56,1.43,1.05,0.27,1.22,1.64,1.45,1.5,1.2,2.26,2.91,0.04,-0.07,0.85,-0.26,0.02,1.24,1.76,0.28,1.47,1.03
1.43,2.27,0.9,-0.14,1.2,1.04,2.19,2.47,1.89,1.18,1.57,0.17,-0.08,0.66,-0.19,0.39,0.94,1.29,0.23,1.2,0.91
1.05,0.9,0.85,0.09,0.91,0.93,0.89,0.94,0.81,0.65,0.72,0.05,-0.06,0.81,-0.16,0.23,0.81,1.04,0.1,0.86,0.8
0.27,-0.14,0.09,16.02,-0.16,-0.08,0,-0.17,-0.25,0.59,1.01,-0.57,0.1,-3.46,0.65,-0.38,0.14,0.14,-0.34,0.09,0.12
1.22,1.2,0.91,-0.16,2.02,1.19,1.04,1.42,1.26,0.64,1.27,0.23,-0.15,1.12,-0.39,0.71,0.86,1.38,0.2,1.01,0.82
1.64,1.04,0.93,-0.08,1.19,2.12,0.98,1.08,1.07,0.73,0.58,0.27,-0.14,2.7,-0.71,0.25,0.96,1.7,0.11,1.37,0.96
1.45,2.19,0.89,0,1.04,0.98,2.56,2.15,1.45,1.4,1.82,0.05,-0.07,0.36,-0.11,0.3,1.13,1.27,0.11,1.23,0.92
1.5,2.47,0.94,-0.17,1.42,1.08,2.15,3.06,2.16,1.16,1.56,0.29,-0.11,0.81,-0.27,0.61,0.88,1.34,0.33,1.24,0.95
1.2,1.89,0.81,-0.25,1.26,1.07,1.45,2.16,2.22,0.79,1.21,0.22,-0.04,0.88,-0.23,0.29,0.66,1.18,0.23,1.01,0.76
2.26,1.18,0.65,0.59,0.64,0.73,1.4,1.16,0.79,3.65,5.39,-0.11,0.02,-0.25,0.16,-0.11,1.01,1.06,0.43,0.97,0.62
2.91,1.57,0.72,1.01,1.27,0.58,1.82,1.56,1.21,5.39,10.64,-0.25,-0.04,-1.46,0.43,0.11,1.04,1.45,0.56,1.25,0.65
0.04,0.17,0.05,-0.57,0.23,0.27,0.05,0.29,0.22,-0.11,-0.25,0.73,-0.11,2.08,-0.48,0.74,-0.04,0.06,0.24,0.07,0.03
-0.07,-0.08,-0.06,0.1,-0.15,-0.14,-0.07,-0.11,-0.04,0.02,-0.04,-0.11,0.15,-0.5,0.27,-0.37,-0.03,-0.12,0,-0.09,-0.06
0.85,0.66,0.81,-3.46,1.12,2.7,0.36,0.81,0.88,-0.25,-1.46,2.08,-0.5,45.7,-4.02,0.27,1.07,1.35,0.59,0.91,0.73
-0.26,-0.19,-0.16,0.65,-0.39,-0.71,-0.11,-0.27,-0.23,0.16,0.43,-0.48,0.27,-4.02,2.28,-0.21,-0.32,-0.42,0.12,-0.3,-0.13
0.02,0.39,0.23,-0.38,0.71,0.25,0.3,0.61,0.29,-0.11,0.11,0.74,-0.37,0.27,-0.21,3.32,-0.27,0.22,0.55,0.19,0.18
1.24,0.94,0.81,0.14,0.86,0.96,1.13,0.88,0.66,1.01,1.04,-0.04,-0.03,1.07,-0.32,-0.27,1.44,1.03,0,0.84,0.82
1.76,1.29,1.04,0.14,1.38,1.7,1.27,1.34,1.18,1.06,1.45,0.06,-0.12,1.35,-0.42,0.22,1.03,2.24,0.12,1.48,1.05
0.28,0.23,0.1,-0.34,0.2,0.11,0.11,0.33,0.23,0.43,0.56,0.24,0,0.59,0.12,0.55,0,0.12,1.6,0.13,0.08
1.47,1.2,0.86,0.09,1.01,1.37,1.23,1.24,1.01,0.97,1.25,0.07,-0.09,0.91,-0.3,0.19,0.84,1.48,0.13,1.55,0.93
1.03,0.91,0.8,0.12,0.82,0.96,0.92,0.95,0.76,0.62,0.65,0.03,-0.06,0.73,-0.13,0.18,0.82,1.05,0.08,0.93,0.85
