"Age","Sex","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","EnergyIntake","PhysicalActivity","Weight","Height","gender","RMR","steadystate","ratio","EnergyIntake_old"
0,"Female",46.5386268485768,9.19702190178022,7.85607387656476,449.53286595822,300.352,1.6,3,51,0,187.72,300.352,0.207353805415301,1448.500062
1,"Female",94.2704065860573,18.627882683285,15.9128573954055,910.548734084,608.384,1.6,9,73,0,380.24,608.384,0.418980210690249,1452.059034
2,"Female",119.393893152079,23.5876033896576,20.1519992555144,1153.11272875898,770.472,1.6,11.5,86,0,481.545,770.472,0.528047262721966,1459.096665
3,"Female",136.775228886854,27.0141198732532,23.0830013217494,1320.82304429416,882.56,1.6,14,94,0,551.6,882.56,0.600603500083588,1469.455306
4,"Female",148.895886857581,29.3987125926581,25.125009768449,1437.66737830513,960.672,1.6,15,101,0,600.42,960.672,0.64783078063775,1482.905766
5,"Female",161.00854578481,31.7798904832354,27.1647853068921,1554.39208239922,1038.712339,1.6,16.5,107.1936339,0,649.195211875,1038.712339,0.692864912330647,1499.155637
6,"Female",174.833250163453,34.498282439464,29.4927935866082,1687.62542451311,1127.788717,1.6,19,112.8924717,0,704.867948125,1127.788717,0.743012483864492,1517.859715
7,"Female",186.435020861434,36.7789955439258,31.4456278932395,1799.4160634122,1202.533555,1.6,21,117.9573555,0,751.583471875,1202.533555,0.781560212862387,1538.632002
8,"Female",200.075432015528,39.4648235885116,33.7426432491862,1930.93929447933,1290.455713,1.6,24,122.7415713,0,806.534820625,1290.455713,0.826654187537401,1561.058702
9,"Female",213.814271092863,42.1751710767659,36.0571098865128,2063.51393541156,1379.062064,1.6,27,127.5942064,0,861.91379,1379.062064,0.870229048289238,1584.711596
10,"Female",230.644433908706,45.5028990909474,38.894322976802,2226.0770738424,1487.681119,1.6,31,132.8497119,0,929.800699375,1487.681119,0.924507215475781,1609.161177
11,"Female",249.434475160953,49.227805074594,42.0641060407338,2407.77178686135,1609.044571,1.6,35.5,138.5804571,0,1005.652856875,1609.044571,0.984734025795969,1633.989005
12,"Female",267.45932906719,52.8151584182139,45.1075849788258,2582.35918896711,1725.604082,1.6,40,143.8308082,0,1078.50255125,1725.604082,1.04027331821865,1658.798752
13,"Female",280.816514962147,55.4962067644088,47.3670705975409,2712.2025803825,1812.200203,1.6,43.5,147.6832203,0,1132.625126875,1812.200203,1.07662348633851,1683.22559
14,"Female",291.124847876635,57.5909071311999,49.1157046222035,2812.94181336168,1879.280374,1.6,46.5,150.3832374,0,1174.55023375,1879.280374,1.10096218808193,1706.943612
15,"Female",297.855001405282,58.9937829540103,50.2640260371559,2879.44986656949,1923.420156,1.6,48.5,152.3876156,0,1202.1375975,1923.420156,1.11201493185099,1729.671159
16,"Female",302.44510861149,59.987876707962,51.0543088234896,2925.59484755611,1953.88856,1.6,50,153.824056,0,1221.18035,1953.88856,1.11575921504258,1751.174029
17,"Female",304.965079900949,60.5850663528072,51.4978568720041,2952.01332931537,1971.117344,1.6,51,154.7357344,0,1231.94834,1971.117344,1.11282925231745,1771.266652
18,"Female",306.729051858288,61.0441883560841,51.8160177124312,2971.38027476078,1983.577973,1.6,52,155.1705973,0,1239.736233125,1983.577973,1.10826086282222,1789.811442
19,"Female",297.721691619794,59.3663476870484,50.3156866850692,2886.55451963152,1926.44664213632,1.6,48.91347148,155.1781714,0,1204.0291513352,1926.44664213632,1.06626941594785,1806.716589
20,"Female",300.555488241724,60.0553480841533,50.8173334695711,2916.66512843921,1945.98941912192,1.6,50.76337238,154.9627675,0,1216.2433869512,1945.98941912192,1.06809077696114,1821.932612
21,"Female",298.758382047396,59.8261098527014,50.5369308846948,2901.99583216356,1935.61624037104,1.6,50.72697431,154.7708283,0,1209.7601502319,1935.61624037104,1.0545742535422,1835.448034
22,"Female",296.603272242542,59.5286931938661,50.1961612468366,2883.93137181239,1922.95597297296,1.6,50.53962919,154.591454,0,1201.8474831081,1922.95597297296,1.04096362348473,1847.284506
23,"Female",294.75978899395,59.2958647776937,49.9079967592257,2868.94631046484,1912.33392572368,1.6,50.47966227,154.4123004,0,1195.2087035773,1912.33392572368,1.02952487778461,1857.49171
24,"Female",292.658030552456,59.0118050431976,49.5757053294634,2851.46667225308,1900.04118930336,1.6,50.32258354,154.2213014,0,1187.5257433146,1900.04118930336,1.01816522043837,1866.142303
25,"Female",297.347267237898,60.0997419115781,50.3937132174458,2900.21262128935,1931.86159877808,1.6,52.93882137,154.0087478,0,1207.4134992363,1931.86159877808,1.0312462771434,1873.327101
26,"Female",295.111682779258,59.789605709128,50.0378768234867,2881.44957308976,1918.70468935408,1.6,52.75528537,153.7736208,0,1199.1904308463,1918.70468935408,1.02104888236353,1879.150668
27,"Female",292.875669472281,59.4767773300203,49.6811005567951,2862.62351270115,1905.51807637984,1.6,52.58098626,153.5207592,0,1190.9487977374,1905.51807637984,1.01156787651263,1883.727351
28,"Female",290.686925567659,59.1703114820796,49.3314697714761,2844.18494229897,1892.60638492592,1.6,52.42382213,153.2680012,0,1182.8789905787,1892.60638492592,1.00287656623878,1887.177793
29,"Female",288.714469789149,58.9043076337326,49.0177400675813,2827.779148834,1881.0676084192,1.6,52.3390863,153.0367653,0,1175.667255262,1881.0676084192,0.995470914298853,1889.625886
30,"Female",291.469986852672,59.6013804703813,49.5063692865657,2857.63901396292,1900.31784817744,1.6,54.15877391,152.8404006,0,1187.6986551109,1900.31784817744,1.00482328316077,1891.196074
31,"Female",289.701405018095,59.3717720157979,49.2263713137781,2843.09968505932,1890.05705384928,1.6,54.11324192,152.6742995,0,1181.2856586558,1890.05705384928,0.998967300813292,1892.010932
32,"Female",287.816629454374,59.1146872540246,48.9262588542449,2827.33093762265,1879.00373892784,1.6,54.00051451,152.5363515,0,1174.3773368299,1879.00373892784,0.993031790841082,1892.188907
33,"Female",286.01737397996,58.8716612504319,48.6404921376404,2812.31644486133,1868.4764159712,1.6,53.9019893,152.4283019,0,1167.797759982,1868.4764159712,0.987649207503286,1891.842166
34,"Female",284.293710635216,58.641016058885,48.3675827657473,2797.9668036881,1858.4143180552,1.6,53.81185905,152.3533563,0,1161.5089487845,1858.4143180552,0.982729313196752,1891.074473
35,"Female",286.179034377797,59.1535147962084,48.7091208201834,2819.09843189471,1871.93425387856,1.6,55.17466009,152.3142487,0,1169.9589086741,1871.93425387856,0.990452362030397,1889.97909
36,"Female",284.684957590319,58.9666224695309,48.4760849108212,2806.91248614918,1863.34377210208,1.6,55.13442612,152.3067105,0,1164.5898575638,1863.34377210208,0.98660783003759,1888.636716
37,"Female",283.444121767,58.830289264203,48.2866862778692,2797.17611735879,1856.39583506544,1.6,55.18559341,152.317331,0,1160.2473969159,1856.39583506544,0.983722396351502,1887.113521
38,"Female",282.056891410003,58.6620143551115,48.0729607218046,2785.95684154754,1848.4775381448,1.6,55.16856595,152.339918,0,1155.2984613405,1848.4775381448,0.980385769959089,1885.459372
39,"Female",280.843357892079,58.5285649502117,47.8895034444142,2776.42248475651,1841.68852982944,1.6,55.21767066,152.3697282,0,1151.0553311434,1841.68852982944,0.977694070962515,1883.70635
40,"Female",281.5345298759,58.7918304688861,48.0316880911662,2785.71144626427,1847.3913457152,1.6,56.0453178,152.4042986,0,1154.619591072,1847.3913457152,0.981679709407884,1881.867709
41,"Female",280.432856022838,58.6806473831659,47.8688365001216,2777.25948078514,1841.33259685376,1.6,56.13258664,152.4461332,0,1150.8328730336,1841.33259685376,0.979464856884627,1879.93738
42,"Female",279.041499439729,58.5079812755249,47.6571238231249,2765.92219395053,1833.36632473616,1.6,56.10706899,152.4774934,0,1145.8539529601,1833.36632473616,0.976290510148575,1877.890142
43,"Female",277.775360977662,58.360653234391,47.4672695020087,2755.80953315604,1826.2164012424,1.6,56.14664735,152.486439,0,1141.3852507765,1826.2164012424,0.973627650599515,1875.682557
44,"Female",276.320801448539,58.1727747326749,47.2455605776,2743.81034087226,1817.82042076656,1.6,56.12779209,152.4641792,0,1136.1377629791,1817.82042076656,0.970407506628637,1873.254698
45,"Female",275.136219158679,58.0407621377932,47.0702265869967,2734.47422736284,1811.1926423584,1.6,56.2445776,152.4019314,0,1131.995401474,1811.1926423584,0.968276394643675,1870.532683
46,"Female",273.540002145538,57.820830616611,46.8245260649817,2721.02590296672,1801.84558806352,1.6,56.21483853,152.3019609,0,1126.1534925397,1801.84558806352,0.964878839943987,1867.431965
47,"Female",271.8005039452,57.5692470971866,46.5541569620059,2706.12356547742,1791.54186738816,1.6,56.14415324,152.1717722,0,1119.7136671176,1791.54186738816,0.961199147371823,1863.861274
48,"Female",269.776821619765,57.2558982331642,46.2347954654485,2688.35636518973,1779.34955257328,1.6,55.96669667,152.0233873,0,1112.0934703583,1779.34955257328,0.956779944135071,1859.72706
49,"Female",268.032600860616,57.0002901312319,45.9628957346626,2673.33565947683,1768.98459767664,1.6,55.89879271,151.8826295,0,1105.6153735479,1768.98459767664,0.953662259347421,1854.938245
50,"Female",265.810582541323,56.6414580588985,45.6085166702785,2653.5067479339,1755.44951911072,1.6,55.62338558,151.7565324,0,1097.1559494442,1755.44951911072,0.949193803437904,1849.411061
51,"Female",264.139085469263,56.3984318252416,45.3479926690322,2639.12935036225,1745.53419926448,1.6,55.56689097,151.6425014,0,1090.9588745403,1745.53419926448,0.9470777923054,1843.07373
52,"Female",262.451266089714,56.1507608622284,45.0840759794892,2624.54782233585,1735.49821621648,1.6,55.49364397,151.5431811,0,1084.6863851353,1735.49821621648,0.945327025403624,1835.87073
