"Age","Sex","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","EnergyIntake","PhysicalActivity","Weight","Height","gender","RMR","steadystate","ratio","EnergyIntake_old"
33,"Male",366.272456987446,75.1041549770459,62.4647369094759,3583.43653712786,2390.88617002976,1.6,62.41926314,164.4952668,1,1494.3038562686,2390.88617002976,1.13335938137604,2109.556959
34,"Male",364.400507300252,74.8386698065542,62.150810792129,3567.83952715122,2379.75330073008,1.6,62.29357437,164.3700808,1,1487.3458129563,2379.75330073008,1.12854553195251,2108.690552
35,"Male",365.028829410147,75.082496264749,62.2629290091591,3576.59957306573,2384.9094998336,1.6,63.1664729,164.2776597,1,1490.568437396,2384.9094998336,1.1318222934085,2107.141301
36,"Male",363.410224077219,74.8606245520189,61.9918630602416,3563.23657006801,2375.3539698904,1.6,63.10029435,164.2150865,1,1484.5962311815,2375.3539698904,1.12845196429631,2104.966844
37,"Male",361.796170955481,74.6361320924337,61.7220645529968,3549.812739055,2365.79813085456,1.6,63.02172409,164.1722893,1,1478.6238317841,2365.79813085456,1.12538312318944,2102.215754
38,"Male",360.360700260606,74.4456953362411,61.4836390478042,3538.05715361065,2357.3886153272,1.6,63.00065455,164.1522153,1,1473.3678845795,2357.3886153272,1.12313926827776,2098.92814
39,"Male",359.031836778792,74.2753077425575,61.2646812322236,3527.28785668975,2349.66384133456,1.6,63.00981909,164.1522893,1,1468.5399008341,2349.66384133456,1.12148508505746,2095.136059
40,"Male",358.661478534447,74.3022495887027,61.21089744641,3525.90385764619,2348.2097507496,1.6,63.40485315,164.1626578,1,1467.6310942185,2348.2097507496,1.12308116852674,2090.863792
41,"Male",357.261429342217,74.1155493148439,60.9832464618991,3514.38720665337,2340.0186467472,1.6,63.3494408,164.2193185,1,1462.511654217,2340.0186467472,1.12170423213046,2086.128036
42,"Male",356.409633713832,74.0427172267769,60.8512159846381,3508.27159766242,2335.42785446336,1.6,63.49732354,164.3110635,1,1459.6424090396,2335.42785446336,1.12229566646702,2080.938138
43,"Male",355.163910646883,73.8887427386696,60.6540831869004,3498.30651746032,2328.2706595344,1.6,63.4818791,164.4072304,1,1455.169162209,2328.2706595344,1.12189786808535,2075.296447
44,"Male",354.227420969735,73.8002108226896,60.5119620444755,3491.43205832764,2323.15942929264,1.6,63.61456671,164.4712195,1,1451.9746433079,2323.15942929264,1.12273372613899,2069.198934
45,"Male",352.421742950056,73.5318857392806,60.2235171254197,3476.04591867446,2312.36801155184,1.6,63.44191301,164.4552474,1,1445.2300072199,2312.36801155184,1.12107413700707,2062.636123
46,"Male",350.836103049855,73.3108404288172,59.974724445745,3462.89258712601,2303.04087386416,1.6,63.42749849,164.3327738,1,1439.4005461651,2303.04087386416,1.12037707887114,2055.594422
47,"Male",348.609818495972,72.9573567444664,59.6183179106742,3443.48345613501,2289.5287561032,1.6,63.21554355,164.1075508,1,1430.9554725645,2289.5287561032,1.11790239475293,2048.057833
48,"Male",346.261349214671,72.5796147868464,59.2427082874443,3422.93417082942,2275.23276309008,1.6,62.99348937,163.8200829,1,1422.0204769313,2275.23276309008,1.11530469932436,2040.010021
49,"Male",343.874098574681,72.195069147135,58.8619591061003,3402.06832587818,2260.69985234624,1.6,62.78352586,163.4895975,1,1412.9374077164,2260.69985234624,1.11285767096079,2031.436644
50,"Male",340.370568233243,71.5771089395167,58.2913314267046,3370.21406950327,2238.84157947184,1.6,62.14254301,163.1155172,1,1399.2759871699,2238.84157947184,1.10706164979201,2022.327826
51,"Male",337.553847011073,71.1043375870618,57.8392769985544,3345.20657515348,2221.51153498432,1.6,61.81023098,162.7008803,1,1388.4447093652,2221.51153498432,1.10375761254943,2012.680601
52,"Male",334.771428335016,70.6397268049645,57.3939073171119,3320.58277734507,2204.41888460176,1.6,61.48353989,162.3009983,1,1377.7618028761,2204.41888460176,1.10083275241945,2002.501179
53,"Male",332.107758800573,70.2010527551583,56.9695198138306,3297.17066509714,2188.11858937488,1.6,61.18892157,161.9290867,1,1367.5741183593,2188.11858937488,1.0985596359659,1991.806833
54,"Male",329.570224893892,69.7898607868069,56.5672305594945,3275.03291889523,2172.65856888384,1.6,60.95189226,161.5491523,1,1357.9116055524,2172.65856888384,1.09695479002354,1980.627268
55,"Male",325.544321440336,69.0635834343304,55.9096256511986,3238.09757470699,2147.38803917696,1.6,60.10355394,161.1652833,1,1342.1175244856,2147.38803917696,1.09059534038253,1969.005331
56,"Male",322.931534635512,68.6368929957154,55.4946865171834,3215.19114930455,2131.43692212768,1.6,59.83826202,160.7814142,1,1332.1480763298,2131.43692212768,1.08913653517604,1956.996991
57,"Male",320.365860408859,68.2202590850732,55.0878164201662,3192.71974157165,2115.79703837456,1.6,59.59244159,160.3975452,1,1322.3731489841,2115.79703837456,1.08799768184001,1944.670539
58,"Male",317.394653650085,67.7167716804128,54.6110052415286,3166.14672236952,2097.47358008224,1.6,59.17872986,160.0136762,1,1310.9209875514,2097.47358008224,1.08558982006113,1932.105056
59,"Male",314.702242854818,67.2717395899125,54.1818040410181,3142.26945045229,2080.98184391424,1.6,58.87961536,159.6298072,1,1300.6136524464,2080.98184391424,1.0841901841861,1919.388198
60,"Male",310.624427405129,66.5285122236094,53.5134658131642,3104.43857576813,2055.3081827024,1.6,58.0060561,159.2459382,1,1284.567614189,2055.3081827024,1.07798892409178,1906.613451
61,"Male",307.880382332511,66.0682321475141,53.074153477741,3079.79178556885,2038.4322319336,1.6,57.68290415,158.8620692,1,1274.0201449585,2038.4322319336,1.07632766904346,1893.877014
62,"Male",305.227159646644,65.6245898468552,52.6497676245799,3055.89592464361,2022.12901697568,1.6,57.39558402,158.4782002,1,1263.8306356098,2022.12901697568,1.07487185958258,1881.274497
63,"Male",302.479586073259,65.1570078209886,52.2082422227392,3030.8737331205,2005.16438421664,1.6,57.06688396,158.0943311,1,1253.2277401354,2005.16438421664,1.07291289750401,1868.897642
64,"Male",299.927783225688,64.7271173654381,51.7995164491795,3007.60959359357,1989.45325545984,1.6,56.81660626,157.7104621,1,1243.4082846624,1989.45325545984,1.07142382914973,1856.831257
65,"Male",295.484566214523,63.8829878437082,51.062825347693,2965.1425592034,1961.13645699104,1.6,55.77768556,157.3265931,1,1225.7102856194,1961.13645699104,1.06285986151856,1845.150549
66,"Male",292.858543934294,63.424718419457,50.6387144401451,2940.65708042019,1944.81149883808,1.6,55.48900512,156.9427241,1,1215.5071867738,1944.81149883808,1.06046751538632,1833.918975
67,"Male",290.19526828288,62.9510944751899,50.2067559326306,2915.5413380928,1928.1679471176,1.6,55.18039265,156.5588551,1,1205.1049669485,1928.1679471176,1.05758116855398,1823.186725
68,"Male",287.719187842021,62.5098754097168,49.8056515357002,2892.03898169878,1912.68823663088,1.6,54.94459307,156.1749861,1,1195.4301478943,1912.68823663088,1.05499112984891,1812.989875
69,"Male",285.215897814949,62.053638735357,49.3981790872315,2867.98784845328,1896.93905636368,1.6,54.69193477,155.7911171,1,1185.5869102273,1896.93905636368,1.05189720867146,1803.350214
