"","x"
"1",0.378686482225658
"2",0.381762915178053
"3",0.424010670945897
"4",0.432694742883177
"5",0.438000905987906
"6",0.439937143000559
"7",0.44419296588861
"8",0.445296148880371
"9",0.446599860345077
"10",0.448780764120851
"11",0.448890955619697
"12",0.456735945997022
"13",0.460080073528397
"14",0.464565312893511
"15",0.465300705024759
"16",0.465779979565457
"17",0.465812305965189
"18",0.466391127934564
"19",0.468659645157591
"20",0.470655686100798
"21",0.471915397774145
"22",0.471980257407486
"23",0.474475563586528
"24",0.475611570816324
"25",0.475890178398588
"26",0.478906770308694
"27",0.480342877332414
"28",0.481167758978995
"29",0.481451889642821
"30",0.481836500217795
"31",0.481860305610508
"32",0.482587197379106
"33",0.482610652406312
"34",0.483474457644471
"35",0.484210251910145
"36",0.485819429043168
"37",0.485929037889308
"38",0.486031544651574
"39",0.486883119303564
"40",0.488646863814036
"41",0.489582704277525
"42",0.489984448509048
"43",0.490054961789483
"44",0.490850319483545
"45",0.491065075372049
"46",0.493504987981072
"47",0.495848495112389
"48",0.497839598255281
"49",0.498926278903454
"50",0.498996270860854
"51",0.499399438480014
"52",0.50011309829277
"53",0.501568110619062
"54",0.501682494813655
"55",0.501894795137065
"56",0.502545162997824
"57",0.503175435730206
"58",0.504071508539448
"59",0.504703885097568
"60",0.505346883764804
"61",0.505418610602231
"62",0.507519864008796
"63",0.507771481139011
"64",0.507837520021959
"65",0.50833412028375
"66",0.510014612773748
"67",0.510517542386238
"68",0.510808018222903
"69",0.511208693117501
"70",0.511522028905298
"71",0.512166749293119
"72",0.512283759422986
"73",0.512468077629879
"74",0.512594149527586
"75",0.513023107920354
"76",0.513044300624914
"77",0.513808600536259
"78",0.513877789843878
"79",0.515265133671182
"80",0.515569967273144
"81",0.517325289019275
"82",0.517406629754454
"83",0.517779171318435
"84",0.518266253594779
"85",0.518569414123032
"86",0.518701441365528
"87",0.519172498960117
"88",0.521171707903035
"89",0.521183636513069
"90",0.521557685343595
"91",0.522202793273671
"92",0.522572825046543
"93",0.524336855528133
"94",0.525206971362043
"95",0.52565267043462
"96",0.526234567150482
"97",0.526474091718089
"98",0.527851393154517
"99",0.528144313797654
"100",0.528648777682212
"101",0.529337861782648
"102",0.529420919379225
"103",0.53047014585312
"104",0.53074219237897
"105",0.53206989023413
"106",0.532477033819416
"107",0.53308237144114
"108",0.5338050471037
"109",0.534670833648116
"110",0.534888581729024
"111",0.535202753625546
"112",0.535885443453472
"113",0.53758871444318
"114",0.538378346203239
"115",0.538431147733849
"116",0.539127767630631
"117",0.539232052272655
"118",0.539855141462967
"119",0.540171824506922
"120",0.540334775819715
"121",0.541153985698893
"122",0.541317272870734
"123",0.541384034800159
"124",0.542328397165872
"125",0.542359510651816
"126",0.542733293736776
"127",0.542842779372477
"128",0.542845989014423
"129",0.542985698444408
"130",0.543850793481711
"131",0.544280061538497
"132",0.544323157800955
"133",0.546420008428103
"134",0.546492123938936
"135",0.546558932710157
"136",0.546787869175437
"137",0.546809849332332
"138",0.547353577282212
"139",0.547536631804702
"140",0.547689574854921
"141",0.547969748141162
"142",0.549507582822569
"143",0.549525583024635
"144",0.549823126472951
"145",0.550076758916378
"146",0.550193793697929
"147",0.550889380996878
"148",0.551243102474196
"149",0.551671658670174
"150",0.552217255972348
"151",0.5534583033939
"152",0.553604137885869
"153",0.553989136035574
"154",0.554356146508689
"155",0.554380896986571
"156",0.554726797118666
"157",0.555208678235156
"158",0.555626810840215
"159",0.555708424052982
"160",0.555849187515993
"161",0.556178648985963
"162",0.557852877838461
"163",0.558369434117391
"164",0.558665233244318
"165",0.558775424784354
"166",0.558862137394539
"167",0.559184605787048
"168",0.559219081275197
"169",0.559459043343902
"170",0.559658190791958
"171",0.559810782201874
"172",0.560599742642477
"173",0.560627034329041
"174",0.560760487383042
"175",0.560808248897998
"176",0.561242121265799
"177",0.561709994582564
"178",0.561714866971529
"179",0.562916584606774
"180",0.563560601850138
"181",0.563848713390457
"182",0.563851596375069
"183",0.56454665935611
"184",0.564693715280091
"185",0.565489777794502
"186",0.566150054022186
"187",0.566275304751474
"188",0.566821994632529
"189",0.567282115711956
"190",0.567398606097356
"191",0.567404017463656
"192",0.56828465738819
"193",0.568693855339639
"194",0.569294448280402
"195",0.569706291062891
"196",0.569855259756691
"197",0.570136832418871
"198",0.570813262550686
"199",0.570822937026383
"200",0.571324252037847
"201",0.571398632419863
"202",0.571548373294778
"203",0.572044289284069
"204",0.572491099335083
"205",0.572614483179041
"206",0.572663650841031
"207",0.572806341721229
"208",0.572851509974182
"209",0.572955926179587
"210",0.573624079324072
"211",0.573698800749167
"212",0.573719596625344
"213",0.574817975973783
"214",0.574866196501824
"215",0.574877700870278
"216",0.574984563460164
