"","x"
"1",0.711094070169813
"2",0.678369341030664
"3",0.675514025684717
"4",0.70006514628626
"5",0.692981774380318
"6",0.671212039060813
"7",0.76828344196484
"8",0.781301088489908
"9",0.680922755316901
"10",0.710445701516846
"11",0.792880427476369
"12",0.70500681723329
"13",0.727022925111712
"14",0.788505558773287
"15",0.771925002512321
"16",0.673802709574509
"17",0.779198024224123
"18",0.678083345052259
"19",0.716811379830292
"20",0.732313693878741
"21",0.697824797646196
"22",0.777638914395223
"23",0.771226017617662
"24",0.760340101536693
"25",0.690070842393768
"26",0.675880542917036
"27",0.792541334126683
"28",0.705817798805856
"29",0.754810548452233
"30",0.698143042680112
"31",0.67233655422126
"32",0.787501571128484
"33",0.753003743124421
"34",0.728385386448646
"35",0.693026843443222
"36",0.696592601618116
"37",0.759154781558
"38",0.672601102123804
"39",0.752135922844378
"40",0.749672844336265
"41",0.753714171203194
"42",0.68200609365394
"43",0.735614981092809
"44",0.711902040238717
"45",0.776364307706824
"46",0.740967866540397
"47",0.760328027075283
"48",0.792009337293717
"49",0.72697119336562
"50",0.761793905606919
"51",0.726276215009244
"52",0.718098905593061
"53",0.76549042954296
"54",0.691378303737632
"55",0.70249710779958
"56",0.753772667860204
"57",0.731347351384323
"58",0.735288384511013
"59",0.769888935036841
"60",0.735746596433811
"61",0.727614768393017
"62",0.715096680211041
"63",0.780131619799543
"64",0.74827137716055
"65",0.760365210816178
"66",0.715628226802506
"67",0.746681319301592
"68",0.686147779222074
"69",0.735199627302411
"70",0.728547738892234
"71",0.671883587339526
"72",0.708188562724899
"73",0.778671109397658
"74",0.752450107125599
"75",0.705538015660469
"76",0.777717987212263
"77",0.77154722033216
"78",0.767148687384896
"79",0.693346140525692
"80",0.703560416846773
"81",0.676378028228689
"82",0.775978831445162
"83",0.753692008586815
"84",0.784389601720977
"85",0.777053562725204
"86",0.790510040078066
"87",0.67232347154038
"88",0.774372350201885
"89",0.698956729614997
"90",0.744250974527629
"91",0.731877625096073
"92",0.782457335576846
"93",0.760990015556241
"94",0.68633040409254
"95",0.738511390962222
"96",0.751540997138171
"97",0.730146126625349
"98",0.72296050920017
"99",0.78001278202156
"100",0.773340812364806
"101",0.672717577345527
"102",0.780258047294029
"103",0.68495355609924
"104",0.680752904276756
"105",0.672450117608346
"106",0.772869518393278
"107",0.780702727950077
"108",0.783720683548599
"109",0.676321664145653
"110",0.693657844399782
"111",0.792913725660502
"112",0.72106380102686
"113",0.717888853528699
"114",0.670354150072164
"115",0.79148434634133
"116",0.672448893825636
"117",0.686033038199247
"118",0.7239498346915
"119",0.783775724240104
"120",0.66874735446959
"121",0.769212999454668
"122",0.739425898730259
"123",0.731491658376112
"124",0.762886674933571
"125",0.72026456625115
"126",0.711831435074489
"127",0.732780133718889
"128",0.716427749808635
"129",0.754024774834797
"130",0.759535312508132
"131",0.74968002083721
"132",0.703351466108584
"133",0.670456152966108
"134",0.769370958393703
"135",0.785505237668687
"136",0.732670758387519
"137",0.755561195767171
"138",0.697939881505184
"139",0.671331152335903
"140",0.786399406603965
"141",0.767405447166061
"142",0.744722560672989
"143",0.716706530062676
"144",0.668343576253634
"145",0.766865106581735
"146",0.688281955154528
"147",0.764603509685498
"148",0.696220076008235
"149",0.768037090537803
"150",0.735374628801899
"151",0.703564984553878
"152",0.732376344094125
"153",0.735717122578173
"154",0.751710373704388
"155",0.699548957514586
"156",0.732761798049913
"157",0.778110371491622
"158",0.773419461942192
"159",0.677410898909451
"160",0.676145070470362
"161",0.689718982408232
"162",0.724063039438669
"163",0.792170233955448
"164",0.693295559865029
"165",0.763377030433092
"166",0.790561361347919
"167",0.766173283919487
"168",0.704958632632851
"169",0.746605910216776
"170",0.708762626057517
"171",0.691918453352373
"172",0.698161647946125
