Age,Carb,Fat,Protein,Sodium,PAL,Energy,weight,height,BMI,BMR,PA
48,355.8699092,72.74066512,58.76695035,3.592180496,1.6,2313.213424,52,158,20.82999519,1210.081,1936.1296
49,356.7613168,73.10729931,58.95788975,3.60139311,1.6,2320.84252,52,158,20.82999519,1205.751,1929.2016
50,357.5731866,73.44431171,59.13016735,3.610177589,1.6,2327.812221,52,158,20.82999519,1201.421,1922.2736
51,358.2798358,73.75344036,59.27945374,3.618372241,1.6,2334.018121,52,158,20.82999519,1197.091,1915.3456
52,358.8622718,74.0386339,59.40282081,3.62587128,1.6,2339.408076,52,158,20.82999519,1192.761,1908.4176
53,359.3058255,74.30422925,59.49831139,3.63259086,1.6,2343.954611,52,158,20.82999519,1188.431,1901.4896
54,359.5978762,74.55302921,59.56448321,3.638436174,1.6,2347.6267,52,158,20.82999519,1184.101,1894.5616
55,359.7264051,74.7847985,59.60008716,3.643278572,1.6,2350.369156,52,158,20.82999519,1179.771,1887.6336
56,359.6798579,74.99565179,59.60400302,3.646949581,1.6,2352.09631,52,158,20.82999519,1175.441,1880.7056
57,359.448425,75.17859704,59.57547073,3.649254363,1.6,2352.702956,52,158,20.82999519,1171.111,1873.7776
58,359.0264355,75.32517809,59.51455459,3.650001507,1.6,2352.090563,52,158,20.82999519,1166.781,1866.8496
59,358.4152089,75.42783235,59.42269215,3.649040919,1.6,2350.202095,52,158,20.82999519,1162.451,1859.9216
60,357.6255099,75.4823547,59.30313829,3.646298727,1.6,2347.055785,52,158,20.82999519,1158.121,1852.9936
61,356.678777,75.4898111,59.161134,3.641798749,1.6,2342.767944,52,158,20.82999519,1153.791,1846.0656
62,355.606561,75.457393,59.00370033,3.6356646,1.6,2337.557582,52,158,20.82999519,1149.461,1839.1376
63,354.4480901,75.3979927,58.83906244,3.62810337,1.6,2331.730544,52,158,20.82999519,1145.131,1832.2096
64,353.2464321,75.32862011,58.67581479,3.619378598,1.6,2325.646569,52,158,20.82999519,1140.801,1825.2816
65,352.0441642,75.2680667,58.52201634,3.609783785,1.6,2319.677322,52,158,20.82999519,1136.471,1818.3536
66,350.8796218,75.23438371,58.38442848,3.599626375,1.6,2314.165655,52,158,20.82999519,1132.141,1811.4256
67,349.7845969,75.24274328,58.26807317,3.589225881,1.6,2309.39537,52,158,20.82999519,1127.811,1804.4976
68,348.7838352,75.3041159,58.1761998,3.578921804,1.6,2305.577183,52,158,20.82999519,1123.481,1797.5696
69,347.8960329,75.42497081,58.11063149,3.569080667,1.6,2302.851395,52,158,20.82999519,1119.151,1790.6416
70,347.1354902,75.607949,58.07235009,3.560090344,1.6,2301.302902,52,158,20.82999519,1114.821,1783.7136
71,346.5133383,75.85322683,58.06210571,3.552334609,1.6,2300.980817,52,158,20.82999519,1110.491,1776.7856
72,346.037434,76.16012202,58.08082751,3.546149302,1.6,2301.914144,52,158,20.82999519,1106.161,1769.8576
73,345.710569,76.52842244,58.12967432,3.541770092,1.6,2304.116775,52,158,20.82999519,1101.831,1762.9296
74,345.5274001,76.95895597,58.20967998,3.539286553,1.6,2307.578924,52,158,20.82999519,1097.501,1756.0016
75,345.4712532,77.45307767,58.32108843,3.538616761,1.6,2312.247066,52,158,20.82999519,1093.171,1749.0736
76,345.5123974,78.01102277,58.46259373,3.539511646,1.6,2317.99917,52,158,20.82999519,1088.841,1742.1456
77,345.6093222,78.62942317,58.63076219,3.541591176,1.6,2324.625146,52,158,20.82999519,1084.511,1735.2176
78,345.7138749,79.29864233,58.81989354,3.544407737,1.6,2331.822855,52,158,20.82999519,1080.181,1728.2896
79,345.7799154,80.00082579,59.02247326,3.547526849,1.6,2339.216987,52,158,20.82999519,1075.851,1721.3616
80,345.7737257,80.70956816,59.23019907,3.550611432,1.6,2346.401813,52,158,20.82999519,1071.521,1714.4336
81,345.6832415,81.39177018,59.4353739,3.553492743,1.6,2353.000393,52,158,20.82999519,1067.191,1707.5056
82,345.5227547,82.01161834,59.632296,3.5562093,1.6,2358.724768,52,158,20.82999519,1062.861,1700.5776
83,345.3304198,82.53582276,59.81819656,3.558996422,1.6,2363.41687,52,158,20.82999519,1058.531,1693.6496
84,345.1576796,82.9385771,59.99331788,3.562215827,1.6,2367.051184,52,158,20.82999519,1054.201,1686.7216
85,345.0522305,83.2044759,60.15990784,3.566228377,1.6,2369.688836,52,158,20.82999519,1049.871,1679.7936
86,345.0386196,83.32805795,60.32020842,3.571231679,1.6,2371.387834,52,158,20.82999519,1045.541,1672.8656
87,345.1021629,83.30973336,60.47388031,3.577102532,1.6,2372.091773,52,158,20.82999519,1041.211,1665.9376
88,345.1818657,83.14929679,60.61562241,3.583294552,1.6,2371.533624,52,158,20.82999519,1036.881,1659.0096
89,345.1761417,82.839507,60.73388958,3.588836912,1.6,2369.195688,52,158,20.82999519,1032.551,1652.0816
90,344.9616743,82.36274293,60.81147532,3.592458408,1.6,2364.357285,52,158,20.82999519,1028.221,1645.1536
91,344.4216808,81.69315586,60.82827765,3.592825861,1.6,2356.238236,52,158,20.82999519,1023.891,1638.2256
92,343.4764894,80.80505088,60.76589986,3.588848284,1.6,2344.215015,52,158,20.82999519,1019.561,1631.2976
93,342.107995,79.68595175,60.61305985,3.579971413,1.6,2328.057785,52,158,20.82999519,1015.231,1624.3696
94,340.3709868,78.3507432,60.37035461,3.566383038,1.6,2308.122055,52,158,20.82999519,1010.901,1617.4416
95,338.3882089,76.8522624,60.05294258,3.54907087,1.6,2285.434968,52,158,20.82999519,1006.571,1610.5136
96,336.3309957,75.2841969,59.6901969,3.529715149,1.6,2261.642543,52,158,20.82999519,1002.241,1603.5856
97,334.3914733,73.77405352,59.32218665,3.510442447,1.6,2238.821122,52,158,20.82999519,997.911,1596.6576
98,332.7539752,72.46669033,58.99367264,3.493499506,1.6,2219.190804,52,158,20.82999519,993.581,1589.7296
99,331.5719774,71.50156899,58.74688912,3.480916424,1.6,2204.789587,52,158,20.82999519,989.251,1582.8016
100,330.9533911,70.98869559,58.61457793,3.474217692,1.6,2197.170136,52,158,20.82999519,984.921,1575.8736
