Age,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,EnergyIntake,PhysicalActivity,Weight,Height,gender,RMR,steadystate,ratio,EnergyIntake_old
0,91.85069161,18.25487098,15.56184869,886.3563215,593.944,1.6,3.5,53,1,371.215,593.944,0.390050385,1522.736606
1,136.7090131,27.16696043,23.16132595,1319.142301,883.984,1.6,9,74,1,552.49,883.984,0.578734031,1527.444305
2,163.0233868,32.38870331,27.61803066,1572.837789,1054.064,1.6,12,87,1,658.79,1054.064,0.685903031,1536.75367
3,180.6870719,35.88653104,30.60823312,1742.914484,1168.16,1.6,14,96,1,730.1,1168.16,0.75342977,1550.456388
4,195.2638469,38.76682543,33.0747958,1883.074692,1262.256,1.6,16,103,1,788.91,1262.256,0.804882278,1568.249215
5,202.8445209,40.25534851,34.35604199,1955.667312,1311.100388,1.6,17,107.0732388,1,819.4377425,1311.100388,0.824723928,1589.744573
6,215.9856315,42.84606726,36.57922185,2081.805278,1395.874019,1.6,19,113.1410019,1,872.4212619,1395.874019,0.864594556,1614.483933
7,230.6207127,45.73306158,39.05599358,2222.302223,1490.304379,1.6,22,118.5760379,1,931.4402369,1490.304379,0.907641108,1641.953373
8,244.5043651,48.47300567,41.40665291,2355.565453,1579.901123,1.6,25,123.5277123,1,987.4382019,1579.901123,0.945142688,1671.600641
9,257.8655271,51.11371181,43.67057335,2483.860874,1666.167808,1.6,28,128.1463808,1,1041.35488,1666.167808,0.978456661,1702.852947
10,270.9123033,53.69884723,45.8835632,2609.25385,1750.473091,1.6,31,132.5689091,1,1094.045682,1750.473091,1.008839862,1735.13474
11,286.4777789,56.79237688,48.52601249,2759.089397,1851.146558,1.6,35,137.0298558,1,1156.966599,1851.146558,1.047096876,1767.884711
12,303.0971753,60.10651451,51.35042137,2919.320113,1958.749018,1.6,39,142.1837018,1,1224.218136,1958.749018,1.087848615,1800.571322
13,321.337935,63.75646457,54.45346875,3095.476519,2076.973796,1.6,43,148.3997796,1,1298.108623,2076.973796,1.133282411,1832.706284
14,341.7474548,67.8537684,57.92847694,3292.902409,2209.387642,1.6,48,154.4363642,1,1380.867276,2209.387642,1.185385699,1863.85549
15,359.8607932,71.51433411,61.01892269,3468.638499,2327.14787,1.6,53,159.007587,1,1454.467419,2327.14787,1.228923746,1893.647085
16,373.418233,74.289055,63.34115968,3600.918229,2415.639066,1.6,57,162.2503066,1,1509.774416,2415.639066,1.256982309,1921.776503
17,381.8064561,76.05359779,64.79006342,3683.790735,2470.868458,1.6,59.5,164.5644458,1,1544.292786,2470.868458,1.26840745,1948.008471
18,387.5558625,77.30870129,65.79375975,3741.606981,2509.176801,1.6,61.5,165.9856801,1,1568.235501,2509.176801,1.272288389,1972.176138
19,376.5385652,75.22879475,63.95167423,3637.813717,2439.020111,1.6,57.28449761,166.4952701,1,1524.387569,2439.020111,1.223070646,1994.17762
20,379.7454976,75.9980423,64.52530125,3671.654446,2461.065576,1.6,59.41043229,166.0889226,1,1538.165985,2461.065576,1.221996905,2013.970383
21,377.357727,75.65602064,64.14822134,3651.633443,2446.927978,1.6,59.22598469,165.7571839,1,1529.329986,2446.927978,1.204455297,2031.563964
22,375.2179619,75.3685241,63.81228088,3634.160131,2434.437688,1.6,59.08200796,165.5254873,1,1521.523555,2434.437688,1.189264255,2047.011568
23,373.2143404,75.11154412,63.49801807,3618.111572,2422.853331,1.6,58.92605744,165.4035229,1,1514.283332,2422.853331,1.175913429,2060.401108
24,371.8352172,74.98199871,63.28816977,3608.185746,2415.331536,1.6,58.96650661,165.3738894,1,1509.58221,2415.331536,1.165787075,2071.846213
25,376.4685514,76.06769024,64.09991383,3656.691235,2446.883073,1.6,61.42649994,165.3841898,1,1529.301921,2446.883073,1.175550958,2081.477673
26,375.3764101,75.99795868,63.9347864,3649.635264,2441.226414,1.6,61.55907454,165.3938167,1,1525.766509,2441.226414,1.168366378,2089.435695
27,373.7948794,75.82677064,63.68376997,3637.776351,2432.355533,1.6,61.52161262,165.3538077,1,1520.222208,2432.355533,1.160550679,2095.863263
28,372.0212683,75.61286509,63.39743123,3623.964545,2422.190584,1.6,61.43785283,165.2583944,1,1513.869115,2422.190584,1.152929559,2100.900757
29,370.0167998,75.3472589,63.06921924,3607.789858,2410.469406,1.6,61.28029491,165.1253172,1,1506.543379,2410.469406,1.145289187,2104.681885
30,372.1335683,75.91693286,63.44123971,3631.698565,2425.551627,1.6,62.81847475,164.9621127,1,1515.969767,2425.551627,1.151006538,2107.330885
31,369.9974464,75.61462034,63.08624743,3613.986823,2412.866358,1.6,62.62073395,164.7968547,1,1508.041474,2412.866358,1.144102008,2108.960864
32,368.3339648,75.40300313,62.81009677,3600.735337,2403.203275,1.6,62.60640792,164.6406451,1,1502.002047,2403.203275,1.139135392,2109.673083
33,366.272457,75.10415498,62.46473691,3583.436537,2390.88617,1.6,62.41926314,164.4952668,1,1494.303856,2390.88617,1.133359381,2109.556959
34,364.4005073,74.83866981,62.15081079,3567.839527,2379.753301,1.6,62.29357437,164.3700808,1,1487.345813,2379.753301,1.128545532,2108.690552
35,365.0288294,75.08249626,62.26292901,3576.599573,2384.9095,1.6,63.1664729,164.2776597,1,1490.568437,2384.9095,1.131822293,2107.141301
36,363.4102241,74.86062455,61.99186306,3563.23657,2375.35397,1.6,63.10029435,164.2150865,1,1484.596231,2375.35397,1.128451964,2104.966844
37,361.796171,74.63613209,61.72206455,3549.812739,2365.798131,1.6,63.02172409,164.1722893,1,1478.623832,2365.798131,1.125383123,2102.215754
38,360.3607003,74.44569534,61.48363905,3538.057154,2357.388615,1.6,63.00065455,164.1522153,1,1473.367885,2357.388615,1.123139268,2098.92814
39,359.0318368,74.27530774,61.26468123,3527.287857,2349.663841,1.6,63.00981909,164.1522893,1,1468.539901,2349.663841,1.121485085,2095.136059
40,358.6614785,74.30224959,61.21089745,3525.903858,2348.209751,1.6,63.40485315,164.1626578,1,1467.631094,2348.209751,1.123081169,2090.863792
41,357.2614293,74.11554931,60.98324646,3514.387207,2340.018647,1.6,63.3494408,164.2193185,1,1462.511654,2340.018647,1.121704232,2086.128036
42,356.4096337,74.04271723,60.85121598,3508.271598,2335.427854,1.6,63.49732354,164.3110635,1,1459.642409,2335.427854,1.122295666,2080.938138
43,355.1639106,73.88874274,60.65408319,3498.306517,2328.27066,1.6,63.4818791,164.4072304,1,1455.169162,2328.27066,1.121897868,2075.296447
44,354.227421,73.80021082,60.51196204,3491.432058,2323.159429,1.6,63.61456671,164.4712195,1,1451.974643,2323.159429,1.122733726,2069.198934
45,352.421743,73.53188574,60.22351713,3476.045919,2312.368012,1.6,63.44191301,164.4552474,1,1445.230007,2312.368012,1.121074137,2062.636123
46,350.836103,73.31084043,59.97472445,3462.892587,2303.040874,1.6,63.42749849,164.3327738,1,1439.400546,2303.040874,1.120377079,2055.594422
47,348.6098185,72.95735674,59.61831791,3443.483456,2289.528756,1.6,63.21554355,164.1075508,1,1430.955473,2289.528756,1.117902395,2048.057833
