Age,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,EnergyIntake,PhysicalActivity,Weight,Height,gender,RMR,steadystate,ratio,EnergyIntake_old
0,46.53862685,9.197021902,7.856073877,449.532866,300.352,1.6,3,51,0,187.72,300.352,0.207353805,1448.500062
1,94.27040659,18.62788268,15.9128574,910.5487341,608.384,1.6,9,73,0,380.24,608.384,0.418980211,1452.059034
2,119.3938932,23.58760339,20.15199926,1153.112729,770.472,1.6,11.5,86,0,481.545,770.472,0.528047263,1459.096665
3,136.7752289,27.01411987,23.08300132,1320.823044,882.56,1.6,14,94,0,551.6,882.56,0.6006035,1469.455306
4,148.8958869,29.39871259,25.12500977,1437.667378,960.672,1.6,15,101,0,600.42,960.672,0.647830781,1482.905766
5,161.0085458,31.77989048,27.16478531,1554.392082,1038.712339,1.6,16.5,107.1936339,0,649.1952119,1038.712339,0.692864912,1499.155637
6,174.8332502,34.49828244,29.49279359,1687.625425,1127.788717,1.6,19,112.8924717,0,704.8679481,1127.788717,0.743012484,1517.859715
7,186.4350209,36.77899554,31.44562789,1799.416063,1202.533555,1.6,21,117.9573555,0,751.5834719,1202.533555,0.781560213,1538.632002
8,200.075432,39.46482359,33.74264325,1930.939294,1290.455713,1.6,24,122.7415713,0,806.5348206,1290.455713,0.826654188,1561.058702
9,213.8142711,42.17517108,36.05710989,2063.513935,1379.062064,1.6,27,127.5942064,0,861.91379,1379.062064,0.870229048,1584.711596
10,230.6444339,45.50289909,38.89432298,2226.077074,1487.681119,1.6,31,132.8497119,0,929.8006994,1487.681119,0.924507215,1609.161177
11,249.4344752,49.22780507,42.06410604,2407.771787,1609.044571,1.6,35.5,138.5804571,0,1005.652857,1609.044571,0.984734026,1633.989005
12,267.4593291,52.81515842,45.10758498,2582.359189,1725.604082,1.6,40,143.8308082,0,1078.502551,1725.604082,1.040273318,1658.798752
13,280.816515,55.49620676,47.3670706,2712.20258,1812.200203,1.6,43.5,147.6832203,0,1132.625127,1812.200203,1.076623486,1683.22559
14,291.1248479,57.59090713,49.11570462,2812.941813,1879.280374,1.6,46.5,150.3832374,0,1174.550234,1879.280374,1.100962188,1706.943612
15,297.8550014,58.99378295,50.26402604,2879.449867,1923.420156,1.6,48.5,152.3876156,0,1202.137598,1923.420156,1.112014932,1729.671159
16,302.4451086,59.98787671,51.05430882,2925.594848,1953.88856,1.6,50,153.824056,0,1221.18035,1953.88856,1.115759215,1751.174029
17,304.9650799,60.58506635,51.49785687,2952.013329,1971.117344,1.6,51,154.7357344,0,1231.94834,1971.117344,1.112829252,1771.266652
18,306.7290519,61.04418836,51.81601771,2971.380275,1983.577973,1.6,52,155.1705973,0,1239.736233,1983.577973,1.108260863,1789.811442
19,297.7216916,59.36634769,50.31568669,2886.55452,1926.446642,1.6,48.91347148,155.1781714,0,1204.029151,1926.446642,1.066269416,1806.716589
20,300.5554882,60.05534808,50.81733347,2916.665128,1945.989419,1.6,50.76337238,154.9627675,0,1216.243387,1945.989419,1.068090777,1821.932612
21,298.758382,59.82610985,50.53693088,2901.995832,1935.61624,1.6,50.72697431,154.7708283,0,1209.76015,1935.61624,1.054574254,1835.448034
22,296.6032722,59.52869319,50.19616125,2883.931372,1922.955973,1.6,50.53962919,154.591454,0,1201.847483,1922.955973,1.040963623,1847.284506
23,294.759789,59.29586478,49.90799676,2868.94631,1912.333926,1.6,50.47966227,154.4123004,0,1195.208704,1912.333926,1.029524878,1857.49171
24,292.6580306,59.01180504,49.57570533,2851.466672,1900.041189,1.6,50.32258354,154.2213014,0,1187.525743,1900.041189,1.01816522,1866.142303
25,297.3472672,60.09974191,50.39371322,2900.212621,1931.861599,1.6,52.93882137,154.0087478,0,1207.413499,1931.861599,1.031246277,1873.327101
26,295.1116828,59.78960571,50.03787682,2881.449573,1918.704689,1.6,52.75528537,153.7736208,0,1199.190431,1918.704689,1.021048882,1879.150668
27,292.8756695,59.47677733,49.68110056,2862.623513,1905.518076,1.6,52.58098626,153.5207592,0,1190.948798,1905.518076,1.011567877,1883.727351
28,290.6869256,59.17031148,49.33146977,2844.184942,1892.606385,1.6,52.42382213,153.2680012,0,1182.878991,1892.606385,1.002876566,1887.177793
29,288.7144698,58.90430763,49.01774007,2827.779149,1881.067608,1.6,52.3390863,153.0367653,0,1175.667255,1881.067608,0.995470914,1889.625886
30,291.4699869,59.60138047,49.50636929,2857.639014,1900.317848,1.6,54.15877391,152.8404006,0,1187.698655,1900.317848,1.004823283,1891.196074
31,289.701405,59.37177202,49.22637131,2843.099685,1890.057054,1.6,54.11324192,152.6742995,0,1181.285659,1890.057054,0.998967301,1892.010932
32,287.8166295,59.11468725,48.92625885,2827.330938,1879.003739,1.6,54.00051451,152.5363515,0,1174.377337,1879.003739,0.993031791,1892.188907
33,286.017374,58.87166125,48.64049214,2812.316445,1868.476416,1.6,53.9019893,152.4283019,0,1167.79776,1868.476416,0.987649208,1891.842166
34,284.2937106,58.64101606,48.36758277,2797.966804,1858.414318,1.6,53.81185905,152.3533563,0,1161.508949,1858.414318,0.982729313,1891.074473
35,286.1790344,59.1535148,48.70912082,2819.098432,1871.934254,1.6,55.17466009,152.3142487,0,1169.958909,1871.934254,0.990452362,1889.97909
36,284.6849576,58.96662247,48.47608491,2806.912486,1863.343772,1.6,55.13442612,152.3067105,0,1164.589858,1863.343772,0.98660783,1888.636716
37,283.4441218,58.83028926,48.28668628,2797.176117,1856.395835,1.6,55.18559341,152.317331,0,1160.247397,1856.395835,0.983722396,1887.113521
38,282.0568914,58.66201436,48.07296072,2785.956842,1848.477538,1.6,55.16856595,152.339918,0,1155.298461,1848.477538,0.98038577,1885.459372
39,280.8433579,58.52856495,47.88950344,2776.422485,1841.68853,1.6,55.21767066,152.3697282,0,1151.055331,1841.68853,0.977694071,1883.70635
40,281.5345299,58.79183047,48.03168809,2785.711446,1847.391346,1.6,56.0453178,152.4042986,0,1154.619591,1847.391346,0.981679709,1881.867709
41,280.432856,58.68064738,47.8688365,2777.259481,1841.332597,1.6,56.13258664,152.4461332,0,1150.832873,1841.332597,0.979464857,1879.93738
42,279.0414994,58.50798128,47.65712382,2765.922194,1833.366325,1.6,56.10706899,152.4774934,0,1145.853953,1833.366325,0.97629051,1877.890142
43,277.775361,58.36065323,47.4672695,2755.809533,1826.216401,1.6,56.14664735,152.486439,0,1141.385251,1826.216401,0.973627651,1875.682557
44,276.3208014,58.17277473,47.24556058,2743.810341,1817.820421,1.6,56.12779209,152.4641792,0,1136.137763,1817.820421,0.970407507,1873.254698
45,275.1362192,58.04076214,47.07022659,2734.474227,1811.192642,1.6,56.2445776,152.4019314,0,1131.995401,1811.192642,0.968276395,1870.532683
46,273.5400021,57.82083062,46.82452606,2721.025903,1801.845588,1.6,56.21483853,152.3019609,0,1126.153493,1801.845588,0.96487884,1867.431965
47,271.8005039,57.5692471,46.55415696,2706.123565,1791.541867,1.6,56.14415324,152.1717722,0,1119.713667,1791.541867,0.961199147,1863.861274
48,269.7768216,57.25589823,46.23479547,2688.356365,1779.349553,1.6,55.96669667,152.0233873,0,1112.09347,1779.349553,0.956779944,1859.72706
49,268.0326009,57.00029013,45.96289573,2673.335659,1768.984598,1.6,55.89879271,151.8826295,0,1105.615374,1768.984598,0.953662259,1854.938245
50,265.8105825,56.64145806,45.60851667,2653.506748,1755.449519,1.6,55.62338558,151.7565324,0,1097.155949,1755.449519,0.949193803,1849.411061
51,264.1390855,56.39843183,45.34799267,2639.12935,1745.534199,1.6,55.56689097,151.6425014,0,1090.958875,1745.534199,0.947077792,1843.07373
52,262.4512661,56.15076086,45.08407598,2624.547822,1735.498216,1.6,55.49364397,151.5431811,0,1084.686385,1735.498216,0.945327025,1835.87073
53,260.810625,55.91218579,44.82766582,2610.396354,1725.762835,1.6,55.4348401,151.4508351,0,1078.601772,1725.762835,0.944192214,1827.766434
54,259.0348228,55.64377188,44.54743599,2594.849247,1715.122982,1.6,55.3359887,151.3320539,0,1071.951864,1715.122982,0.943024033,1818.747902
55,256.1486177,55.13560995,44.07558193,2568.125511,1697.117288,1.6,54.76937494,151.2243599,0,1060.698305,1697.117288,0.938242079,1808.826662
56,254.4059042,54.87256123,43.79989839,2552.813962,1686.676262,1.6,54.6760262,151.1166659,0,1054.172664,1686.676262,0.938064128,1798.039399
57,252.6657269,54.60971645,43.52425941,2537.486149,1676.247393,1.6,54.58343812,151.0089718,0,1047.654621,1676.247393,0.938313281,1786.447476
58,250.9900803,54.36066311,43.25945585,2522.766232,1666.244113,1.6,54.5174759,150.9012778,0,1041.40257,1666.244113,0.939186585,1774.135342
59,249.4501024,54.14105421,43.01789026,2509.372342,1657.141458,1.6,54.50785911,150.7935838,0,1035.713411,1657.141458,0.940911894,1761.207896
60,245.8871858,53.48165509,42.42726172,2475.57578,1634.592686,1.6,53.65701875,150.6858898,0,1021.620429,1634.592686,0.935235651,1747.786972
61,244.2072007,53.23103255,42.16142886,2460.682865,1624.553811,1.6,53.58882966,150.5781958,0,1015.346132,1624.553811,0.936878392,1734.007129
62,242.4877013,52.9718597,41.88896703,2445.353122,1614.25341,1.6,53.50427879,150.4705018,0,1008.908381,1614.25341,0.938513427,1720.010992
63,240.778949,52.7150038,41.61865237,2430.09163,1604.02544,1.6,53.42425938,150.3628078,0,1002.5159,1604.02544,0.940256578,1705.944396
64,239.0300283,52.44916682,41.34176137,2414.382165,1593.52966,1.6,53.32748513,150.2551138,0,995.9560377,1593.52966,0.941829357,1691.951571
65,235.2713381,51.74092958,40.71746054,2378.310089,1569.623561,1.6,52.3917269,150.1474198,0,981.0147255,1569.623561,0.935318215,1678.170633
66,233.4988154,51.46779485,40.43709507,2362.248625,1558.953795,1.6,52.28406765,150.0397258,0,974.3461221,1558.953795,0.936460689,1664.729564
67,231.8069792,51.21144244,40.17109859,2346.946688,1548.815293,1.6,52.20964567,149.9320317,0,968.0095584,1548.815293,0.937685476,1651.742863
68,230.10944,50.95246946,39.9044419,2331.522842,1538.627753,1.6,52.13215564,149.8243377,0,961.6423455,1538.627753,0.938583135,1639.30897
69,228.4676071,50.70403229,39.64765072,2316.589667,1528.797322,1.6,52.07700729,149.7166437,0,955.498326,1528.797322,0.939348267,1627.508535
70,224.3246249,49.89695338,38.95653404,2276.192193,1502.197217,1.6,50.97270519,149.6089497,0,938.8732605,1502.197217,0.929345424,1616.403523
71,222.7536233,49.65784338,38.71155448,2261.775735,1492.781302,1.6,50.94349004,149.5012557,0,932.9883136,1492.781302,0.929481195,1606.037121
72,221.0002154,49.37446291,38.43436352,2245.391276,1482.108482,1.6,50.83563968,149.3935617,0,926.317801,1482.108482,0.928386733,1596.434362
73,219.2740541,49.09272311,38.16104017,2229.14792,1471.574885,1.6,50.7364995,149.2858677,0,919.7343031,1471.574885,0.926915964,1587.603345
