source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,male,0,393,0,0,0,1,0.0303978,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.910941,0.0610687,0.0279898,0.0890585,0,0,0
baseline,1,2010,female,0,377,0,0,0,0,-0.0493143,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.909814,0.0424403,0.0477454,0.0901857,0,0,0
baseline,1,2010,male,1,391,1,1,1,1,-0.0294076,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0460358,0,0,0.00767263,0,0.0252295,0,0,0.867008,0.0741688,0.0588235,0.132992,0,2522.95,2522.95
baseline,1,2010,female,1,375,1,1,1,0,0.0360688,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0293333,0,0,0.0133333,0,0.0274284,0,0,0.861333,0.072,0.0666667,0.138667,0,2742.84,2742.84
baseline,1,2010,male,2,390,2,4,8,1,-0.0414734,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0692308,0,0,0.00769231,0,0.0252295,0,0,0.828205,0.0948718,0.0769231,0.171795,0,2522.95,2522.95
baseline,1,2010,female,2,373,2,4,8,0,0.00579986,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0348525,0,0,0.0107239,0,0.0274284,0,0,0.823056,0.075067,0.101877,0.176944,0,2742.84,2742.84
baseline,1,2010,male,3,392,3,9,27,1,-0.0334357,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0586735,0,0,0.00510204,0,0.0252295,0,0,0.706633,0.0918367,0.201531,0.293367,0,2522.95,2522.95
baseline,1,2010,female,3,374,3,9,27,0,0.0651731,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.026738,0,0,0.013369,0,0.0274284,0,0,0.721925,0.147059,0.131016,0.278075,0,2742.84,2742.84
baseline,1,2010,male,4,392,4,16,64,1,-0.0786056,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0637755,0,0,0.00765306,0,0.0252295,0,0,0.607143,0.130102,0.262755,0.392857,0,2522.95,2522.95
baseline,1,2010,female,4,375,4,16,64,0,0.00725633,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.04,0,0,0.0186667,0,0.0274284,0,0,0.594667,0.181333,0.224,0.405333,0,2742.84,2742.84
baseline,1,2010,male,5,388,5,25,125,1,0.0252848,151.967,95.7408,2.87995,3282.05,3113.23,17.3039,0,0.0438144,0,0,0.0128866,0,0.0319848,0,0,0.523196,0.17268,0.304124,0.476804,0,3198.48,3198.48
baseline,1,2010,female,5,370,5,25,125,0,0.0613345,134.694,91.9668,2.82233,2917.82,2427.67,17.2304,0,0.0540541,0,0,0.0108108,0,0.03555,0,0,0.513514,0.240541,0.245946,0.486486,0,3555,3555
baseline,1,2010,male,6,386,6,36,216,1,0.106251,157.281,99.0012,2.99603,3392.26,3069.35,17.627,0,0.0492228,0,0,0.015544,0,0.0319848,0,0,0.471503,0.264249,0.264249,0.528497,0,3198.48,3198.48
baseline,1,2010,female,6,369,6,36,216,0,0.0706786,137.602,93.7278,2.90375,2977.26,2394.84,17.5829,0,0.0460705,0,0,0.00542005,0,0.03555,0,0,0.506775,0.303523,0.189702,0.493225,0,3555,3555
baseline,1,2010,male,7,387,7,49,343,1,-0.0585623,162.148,101.989,3.10369,3494.56,3029.97,17.8475,0,0.0568475,0,0,0.0180879,0,0.0319848,0,0,0.501292,0.317829,0.180879,0.498708,0,3198.48,3198.48
baseline,1,2010,female,7,370,7,49,343,0,0.020136,140.306,95.4039,2.9798,3030.87,2372.11,17.805,0,0.0405405,0,0,0.0243243,0,0.03555,0,0,0.559459,0.278378,0.162162,0.440541,0,3555,3555
baseline,1,2010,male,8,392,8,64,512,1,0.0549855,166.629,104.741,3.20373,3590.21,2989.53,18.0643,0,0.0612245,0,0,0.0102041,0,0.0319848,0,0,0.520408,0.316327,0.163265,0.479592,0,3198.48,3198.48
baseline,1,2010,female,8,375,8,64,512,0,-0.0272849,142.769,97.011,3.05214,3079.65,2357.59,17.9541,0,0.0453333,0,0,0.024,0,0.03555,0,0,0.589333,0.298667,0.112,0.410667,0,3555,3555
baseline,1,2010,male,9,399,9,81,729,1,-0.00158116,170.897,107.344,3.2984,3681.66,2943.88,18.5265,0,0.0651629,0,0,0.0250627,0,0.0319848,0,0,0.533835,0.328321,0.137845,0.466165,0,3198.48,3198.48
baseline,1,2010,female,9,381,9,81,729,0,0.0261639,145.005,98.5776,3.12299,3125.56,2346.35,18.2958,0,0.0446194,0,0,0.0393701,0,0.03555,0,0,0.622047,0.299213,0.0787402,0.377953,0,3555,3555
baseline,1,2010,male,10,398,10,100,1000,1,0.0694104,175.156,109.906,3.39065,3771.64,2893.07,18.5384,0,0.0477387,0,0,0.0376884,0,0.0489486,0,0,0.61809,0.309045,0.0728643,0.38191,0,4894.86,4894.86
baseline,1,2010,female,10,379,10,100,1000,0,0.00472208,147.07,100.127,3.19378,3170.52,2333.51,18.5438,0,0.0474934,0,0,0.0316623,0,0.0622047,0,0,0.683377,0.266491,0.0501319,0.316623,0,6220.47,6220.47
baseline,1,2010,male,11,391,11,121,1331,1,0.0221945,179.591,112.537,3.48432,3863.09,2841.52,18.9925,0,0.0409207,0,0,0.028133,0,0.0489486,0,0,0.634271,0.327366,0.0383632,0.365729,0,4894.86,4894.86
baseline,1,2010,female,11,371,11,121,1331,0,0.00236047,149.044,101.677,3.26502,3215.92,2317,18.8242,0,0.0781671,0,0,0.0296496,0,0.0622047,0,0,0.716981,0.253369,0.0296496,0.283019,0,6220.47,6220.47
baseline,1,2010,male,12,385,12,144,1728,1,-0.0211322,184.363,115.357,3.58466,3959.55,2796.59,19.2328,0,0.0597403,0,0,0.0467532,0,0.0489486,0,0,0.672727,0.290909,0.0363636,0.327273,0,4894.86,4894.86
baseline,1,2010,female,12,366,12,144,1728,0,0.018157,151.016,103.247,3.33733,3262.74,2299.25,19.3363,0,0.0437158,0,0,0.0382514,0,0.0622047,0,0,0.734973,0.23224,0.0327869,0.265027,0,6220.47,6220.47
baseline,1,2010,male,13,382,13,169,2197,1,-0.0372937,189.623,118.504,3.69839,4065.58,2769.69,19.6261,0,0.0680628,0,0,0.026178,0,0.0489486,0,0,0.727749,0.26178,0.0104712,0.272251,0,4894.86,4894.86
baseline,1,2010,female,13,363,13,169,2197,0,-0.0572416,153.076,104.876,3.41291,3311.85,2290.44,19.4624,0,0.0909091,0,0,0.0358127,0,0.0622047,0,0,0.782369,0.195592,0.0220386,0.217631,0,6220.47,6220.47
baseline,1,2010,male,14,383,14,196,2744,1,0.0338689,195.512,122.131,3.83226,4186.46,2782.48,19.6933,0,0.0652742,0,0,0.0261097,0,0.0489486,0,0,0.775457,0.208877,0.0156658,0.224543,0,4894.86,4894.86
baseline,1,2010,female,14,365,14,196,2744,0,0.0200585,155.309,106.617,3.49611,3364.25,2314.44,19.9337,0,0.0712329,0,0,0.0465753,0,0.0622047,0,0,0.810959,0.167123,0.0219178,0.189041,0,6220.47,6220.47
baseline,1,2010,male,15,378,15,225,3375,1,0.0361538,202.099,126.365,3.99005,4326.49,2874.8,20.2857,0,0.0873016,0,0,0.0343915,0,0.0662947,0,0,0.785714,0.193122,0.021164,0.214286,0,6629.47,6629.47
baseline,1,2010,female,15,360,15,225,3375,0,-0.0364695,157.763,108.529,3.59212,3420.39,2413.98,20.5018,0,0.0555556,0,0,0.0555556,0,0.0918014,0,0,0.777778,0.205556,0.0166667,0.222222,0,9180.14,9180.14
baseline,1,2010,male,16,376,16,256,4096,1,0.00391691,209.228,131.207,4.16841,4485.54,3102.54,20.4351,0,0.0718085,0,0,0.0505319,0,0.0662947,0,0,0.827128,0.151596,0.0212766,0.172872,0,6629.47,6629.47
baseline,1,2010,female,16,359,16,256,4096,0,0.0244072,160.411,110.639,3.70392,3478.99,2644.63,20.7114,0,0.0612813,0,0,0.0640669,0,0.0918014,0,0,0.841226,0.147632,0.0111421,0.158774,0,9180.14,9180.14
baseline,1,2010,male,17,387,17,289,4913,1,0.0104312,216.374,136.432,4.354,4655.23,3516.48,20.9481,0,0.0387597,0,0,0.0413437,0,0.0662947,0,0,0.850129,0.129199,0.0206718,0.149871,0,6629.47,6629.47
baseline,1,2010,female,17,368,17,289,4913,0,-0.0651547,163.112,112.914,3.82909,3536.1,3050.78,21.3135,0,0.0733696,0,0,0.0434783,0,0.0918014,0,0,0.847826,0.149457,0.00271739,0.152174,0,9180.14,9180.14
baseline,1,2010,male,18,397,18,324,5832,1,0.0307127,222.662,141.551,4.52482,4818.05,4125.21,21.5432,0,0.0478589,0,0,0.0428212,0,0.0662947,0,0,0.828715,0.153652,0.0176322,0.171285,0,6629.47,6629.47
baseline,1,2010,female,18,380,18,324,5832,0,0.0154686,165.63,115.245,3.95848,3585.66,3629.59,21.9299,0,0.102632,0,0,0.0552632,0,0.0918014,0,0,0.852632,0.147368,0,0.147368,0,9180.14,9180.14
baseline,1,2010,male,19,399,19,361,6859,1,-0.0309487,227.141,145.938,4.65716,4951.83,4866.45,22.912,0,0.0676692,0,0,0.0551378,0,0.0662947,0,0,0.719298,0.240602,0.0401003,0.280702,0,6629.47,6629.47
baseline,1,2010,female,19,383,19,361,6859,0,0.0452096,167.709,117.468,4.07838,3621.59,4308.28,23.324,0,0.0887728,0,0,0.0809399,0,0.0918014,0,0,0.712794,0.237598,0.0496084,0.287206,0,9180.14,9180.14
