source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,male,0,393,0,0,0,1,0.0826976,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.916031,0.0407125,0.043257,0.0839695,0,0,0
baseline,1,2010,female,0,377,0,0,0,0,0.0324642,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.909814,0.0291777,0.061008,0.0901857,0,0,0
baseline,1,2010,male,1,391,1,1,1,1,-0.0999279,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0409207,0,0,0.0102302,0,0.0252295,0,0,0.84399,0.0920716,0.0639386,0.15601,0,2522.95,2522.95
baseline,1,2010,female,1,375,1,1,1,0,0.0346078,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.0346667,0,0,0.0133333,0,0.0274284,0,0,0.869333,0.0666667,0.064,0.130667,0,2742.84,2742.84
baseline,1,2010,male,2,390,2,4,8,1,0.00305252,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0410256,0,0,0.00769231,0,0.0252295,0,0,0.838462,0.074359,0.0871795,0.161538,0,2522.95,2522.95
baseline,1,2010,female,2,373,2,4,8,0,0.00393603,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0321716,0,0,0.00536193,0,0.0274284,0,0,0.823056,0.0991957,0.077748,0.176944,0,2742.84,2742.84
baseline,1,2010,male,3,392,3,9,27,1,0.0896828,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0586735,0,0,0.00765306,0,0.0252295,0,0,0.72449,0.0816327,0.193878,0.27551,0,2522.95,2522.95
baseline,1,2010,female,3,374,3,9,27,0,-0.00907699,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.0481283,0,0,0.013369,0,0.0274284,0,0,0.697861,0.141711,0.160428,0.302139,0,2742.84,2742.84
baseline,1,2010,male,4,392,4,16,64,1,-0.0830891,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0408163,0,0,0.0127551,0,0.0252295,0,0,0.602041,0.147959,0.25,0.397959,0,2522.95,2522.95
baseline,1,2010,female,4,375,4,16,64,0,0.0171375,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.0266667,0,0,0.0186667,0,0.0274284,0,0,0.562667,0.232,0.205333,0.437333,0,2742.84,2742.84
