source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,male,13,382,13,169,2197,1,0.0592279,189.623,118.504,3.69839,4065.58,2769.69,19.6261,0,0.0628272,0,0,0.0366492,0,0.0489486,0,0,0.709424,0.274869,0.0157068,0.290576,0,4894.86,4894.86
baseline,1,2010,female,13,363,13,169,2197,0,0.0836281,153.076,104.876,3.41291,3311.85,2290.44,19.4624,0,0.077135,0,0,0.0633609,0,0.0622047,0,0,0.787879,0.209366,0.00275482,0.212121,0,6220.47,6220.47
baseline,1,2010,male,14,383,14,196,2744,1,0.0564352,195.512,122.131,3.83226,4186.46,2782.48,19.6933,0,0.073107,0,0,0.0417755,0,0.0489486,0,0,0.796345,0.177546,0.0261097,0.203655,0,4894.86,4894.86
baseline,1,2010,female,14,365,14,196,2744,0,-0.0157415,155.309,106.617,3.49611,3364.25,2314.44,19.9337,0,0.0493151,0,0,0.0547945,0,0.0622047,0,0,0.813699,0.178082,0.00821918,0.186301,0,6220.47,6220.47
baseline,1,2010,male,15,378,15,225,3375,1,0.0621637,202.099,126.365,3.99005,4326.49,2874.8,20.2857,0,0.0714286,0,0,0.0291005,0,0.0662947,0,0,0.796296,0.185185,0.0185185,0.203704,0,6629.47,6629.47
baseline,1,2010,female,15,360,15,225,3375,0,0.00990599,157.763,108.529,3.59212,3420.39,2413.98,20.5018,0,0.0722222,0,0,0.0583333,0,0.0918014,0,0,0.816667,0.175,0.00833333,0.183333,0,9180.14,9180.14
baseline,1,2010,male,16,376,16,256,4096,1,-0.0346262,209.228,131.207,4.16841,4485.54,3102.54,20.4351,0,0.0744681,0,0,0.0452128,0,0.0662947,0,0,0.829787,0.146277,0.0239362,0.170213,0,6629.47,6629.47
baseline,1,2010,female,16,359,16,256,4096,0,0.0154601,160.411,110.639,3.70392,3478.99,2644.63,20.7114,0,0.0668524,0,0,0.0668524,0,0.0918014,0,0,0.860724,0.13649,0.00278552,0.139276,0,9180.14,9180.14
baseline,1,2010,male,17,387,17,289,4913,1,-0.0197639,216.374,136.432,4.354,4655.23,3516.48,20.9481,0,0.0645995,0,0,0.0594315,0,0.0662947,0,0,0.852713,0.136951,0.0103359,0.147287,0,6629.47,6629.47
baseline,1,2010,female,17,368,17,289,4913,0,0.0621509,163.112,112.914,3.82909,3536.1,3050.78,21.3135,0,0.0951087,0,0,0.0652174,0,0.0918014,0,0,0.858696,0.13587,0.00543478,0.141304,0,9180.14,9180.14
baseline,1,2010,male,18,397,18,324,5832,1,-0.0611657,222.662,141.551,4.52482,4818.05,4125.21,21.5432,0,0.0629723,0,0.00251889,0.0579345,0,0.0662947,0,0,0.836272,0.151134,0.0125945,0.163728,0,6629.47,6629.47
baseline,1,2010,female,18,380,18,324,5832,0,0.0379894,165.63,115.245,3.95848,3585.66,3629.59,21.9299,0,0.0947368,0,0.00263158,0.0868421,0,0.0918014,0,0,0.836842,0.155263,0.00789474,0.163158,0,9180.14,9180.14
baseline,1,2010,male,19,399,19,361,6859,1,0.0366352,227.141,145.938,4.65716,4951.83,4866.45,22.912,0,0.037594,0,0.00250627,0.0676692,0,0.0662947,0,0,0.709273,0.235589,0.0551378,0.290727,0,6629.47,6629.47
baseline,1,2010,female,19,383,19,361,6859,0,0.0438812,167.709,117.468,4.07838,3621.59,4308.28,23.324,0,0.0704961,0,0,0.0574413,0,0.0918014,0,0,0.660574,0.287206,0.0522193,0.339426,0,9180.14,9180.14
baseline,1,2010,male,20,396,20,400,8000,1,0.0758555,229.221,149.066,4.73577,5038.89,5611.81,26.8849,0,0.040404,0,0,0.0707071,0,0.0731558,0,0,0.333333,0.469697,0.19697,0.666667,0,7315.58,7315.58
baseline,1,2010,female,20,383,20,400,8000,0,0.0555651,169.174,119.411,4.17544,3640.49,4957.31,25.4829,0,0.078329,0,0,0.0626632,0,0.10905,0,0,0.462141,0.415144,0.122715,0.537859,0,10905,10905
baseline,1,2010,male,21,391,21,441,9261,1,-0.0811132,228.985,150.741,4.76109,5074.35,6212.99,26.4703,0,0.0460358,0,0,0.0741688,0,0.0731558,0,0,0.386189,0.434783,0.179028,0.613811,0,7315.58,7315.58
