source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
intervention,1,2010,male,0,393,0,0,0,1,-0.0194235,129.728,81.9051,2.39625,2817.39,3343.66,14,0,0,0,0,0,0,0,0,0,0.898219,0.0610687,0.0407125,0.101781,0,0,0
intervention,1,2010,female,0,377,0,0,0,0,-0.00298012,123.072,84.8774,2.47944,2658.48,2578.3,14,0,0,0,0,0,0,0,0,0,0.907162,0.0450928,0.0477454,0.0928382,0,0,0
intervention,1,2010,male,1,391,1,1,1,1,0.0787711,131.817,83.2249,2.44208,2861.89,3319.45,14.6608,0,0.0409207,0,0,0.00255754,0,0.0252295,0,0,0.867008,0.0792839,0.0537084,0.132992,0,2522.95,2522.95
intervention,1,2010,female,1,375,1,1,1,0,-0.0795609,124.146,85.5389,2.51211,2683.43,2566.47,14.6461,0,0.032,0,0,0.016,0,0.0274284,0,0,0.888,0.056,0.056,0.112,0,2742.84,2742.84
intervention,1,2010,male,2,390,2,4,8,1,0.0339395,135.665,85.6443,2.52619,2943.31,3275.81,15.3215,0,0.0512821,0,0,0.00512821,0,0.0252295,0,0,0.810256,0.117949,0.0717949,0.189744,0,2522.95,2522.95
intervention,1,2010,female,2,373,2,4,8,0,0.0601236,126.128,86.7576,2.57205,2729.13,2542.67,15.2922,0,0.0428954,0,0,0.0134048,0,0.0274284,0,0,0.841823,0.075067,0.0831099,0.158177,0,2742.84,2742.84
intervention,1,2010,male,3,392,3,9,27,1,0.018755,140.713,88.7949,2.63599,3049.07,3221.07,15.9823,0,0.0484694,0,0,0.00765306,0,0.0252295,0,0,0.739796,0.0790816,0.181122,0.260204,0,2522.95,2522.95
intervention,1,2010,female,3,374,3,9,27,0,-0.052168,128.74,88.3577,2.65013,2788.49,2508.27,15.9383,0,0.040107,0,0,0.013369,0,0.0274284,0,0,0.740642,0.0989305,0.160428,0.259358,0,2742.84,2742.84
intervention,1,2010,male,4,392,4,16,64,1,0.0993692,146.328,92.2716,2.75768,3165.6,3164.52,16.6431,0,0.0484694,0,0,0,0,0.0252295,0,0,0.576531,0.163265,0.260204,0.423469,0,2522.95,2522.95
intervention,1,2010,female,4,375,4,16,64,0,0.109959,131.681,90.1466,2.73628,2853.59,2467.64,16.5843,0,0.0346667,0,0,0.00266667,0,0.0274284,0,0,0.597333,0.194667,0.208,0.402667,0,2742.84,2742.84
