,slope,std
income_quintile1,0.24513363,0.053539077
income_quintile2,0.214049288,0.05075619
income_quintile3,0.246907407,0.054756586
income_quintile4,0.237725388,0.051571429
income_quintile5,0.21344572,0.050218181
