FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
1.92,0.53,0.94,-0.07,0.7,2.17,0.45,0.47,1.03,1.23,1.59,-0.48,0.44,0.62,0,-0.4,1.01,2.1,1.49,1.04,1.2
0.53,0.9,0.54,0.09,0.33,0.48,0.66,0.73,0.77,0.27,0.25,-0.05,0.01,-0.04,0.12,0.15,0.47,0.62,0.12,0.53,0.71
0.94,0.54,1.28,0.01,0.78,1.43,0.48,0.5,0.73,0.59,0.59,-0.25,0.19,0.08,0.23,0.12,0.91,1.33,0.5,0.77,1.19
-0.07,0.09,0.01,19.63,-0.04,-0.64,0.14,0.09,-0.03,-0.02,0.06,-0.24,-0.15,0.13,0.18,0.19,0.02,0.43,-0.35,-0.92,0.61
0.7,0.33,0.78,-0.04,39.53,1.02,0.43,0.49,1.43,0.5,0.94,0,-0.24,0.52,0.1,0.25,0.6,1.88,0.64,-2.56,1.14
2.17,0.48,1.43,-0.64,1.02,8.49,0.37,0.35,1.21,1.04,1.21,-0.53,0.47,1.28,-0.22,-0.6,1.3,3.6,0.61,2.16,1.69
0.45,0.66,0.48,0.14,0.43,0.37,1.81,0.61,0.33,0.32,0.32,-0.05,0,-0.19,0.23,0.21,0.56,0.58,0.13,0.33,0.5
0.47,0.73,0.5,0.09,0.49,0.35,0.61,1.91,0.86,0.23,0.28,0,-0.08,0.01,0.06,0.19,0.37,0.71,0.12,0.73,0.59
1.03,0.77,0.73,-0.03,1.43,1.21,0.33,0.86,8.51,0.53,0.51,-0.13,0.16,-0.12,-0.11,-0.06,0.48,1.08,0.38,2.02,0.61
1.23,0.27,0.59,-0.02,0.5,1.04,0.32,0.23,0.53,1.81,2.55,-0.25,0.32,-0.3,0.12,-0.14,0.9,1.03,2.45,0.64,0.65
1.59,0.25,0.59,0.06,0.94,1.21,0.32,0.28,0.51,2.55,6.03,-0.26,0.25,-0.27,0.11,-0.15,0.85,1.22,4.36,0.9,0.46
-0.48,-0.05,-0.25,-0.24,0,-0.53,-0.05,0,-0.13,-0.25,-0.26,1.77,-1.24,-3.5,0.12,1.21,-0.68,-0.45,-0.42,0.4,-0.12
0.44,0.01,0.19,-0.15,-0.24,0.47,0,-0.08,0.16,0.32,0.25,-1.24,1.31,1.74,-0.01,-1,0.6,0.29,0.45,-0.11,0.17
0.62,-0.04,0.08,0.13,0.52,1.28,-0.19,0.01,-0.12,-0.3,-0.27,-3.5,1.74,27.94,-1.35,-3.09,0.63,0.7,-0.06,-1.24,-0.06
0,0.12,0.23,0.18,0.1,-0.22,0.23,0.06,-0.11,0.12,0.11,0.12,-0.01,-1.35,1.48,0.69,0.17,-0.14,0.24,0.06,0.43
-0.4,0.15,0.12,0.19,0.25,-0.6,0.21,0.19,-0.06,-0.14,-0.15,1.21,-1,-3.09,0.69,2.24,-0.27,-0.33,-0.19,0.07,0.24
1.01,0.47,0.91,0.02,0.6,1.3,0.56,0.37,0.48,0.9,0.85,-0.68,0.6,0.63,0.17,-0.27,1.62,1.1,0.65,0.28,1.02
2.1,0.62,1.33,0.43,1.88,3.6,0.58,0.71,1.08,1.03,1.22,-0.45,0.29,0.7,-0.14,-0.33,1.1,13.82,0.69,1.57,1.42
1.49,0.12,0.5,-0.35,0.64,0.61,0.13,0.12,0.38,2.45,4.36,-0.42,0.45,-0.06,0.24,-0.19,0.65,0.69,11.49,0.15,0.36
1.04,0.53,0.77,-0.92,-2.56,2.16,0.33,0.73,2.02,0.64,0.9,0.4,-0.11,-1.24,0.06,0.07,0.28,1.57,0.15,96.57,1.73
1.2,0.71,1.19,0.61,1.14,1.69,0.5,0.59,0.61,0.65,0.46,-0.12,0.17,-0.06,0.43,0.24,1.02,1.42,0.36,1.73,13.94
