Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,EnergyIntake,inc_quintile,PhysicalActivity,BMR,steadystate,ratio
24,0,363.516664602195,126.56992956241,107.681299777138,3.76384890027645,50.9808460773971,22.2295084188313,45.7832341527829,153.201901766435,95.461440138529,25.5096356133413,155.703249367175,245.594549573219,48.9109055404068,90.1169399952359,33.0237878666626,1291.71836885009,16.0016004016425,106.247829902171,1.59139637099987,12.4632982878091,17.1162556126068,176.7099767,80.62933682,3143.73501286727,5,1.74958664298781,1796.8444292068,3143.73501286727,0.995989363398974
25,0,363.286789270214,126.753816481739,107.839399995276,3.77408061772226,51.0654495884441,22.3055704648756,45.8584445622959,152.81711221739,95.1755208894247,25.5277559195838,156.668589497107,246.836423020157,49.1671880965742,90.1442441513384,33.3067879995492,1287.92914858588,16.0155722769371,105.761687805878,1.59547669546865,12.496203030891,17.3057369203123,176.7773897,81.22402547,3146.4292638398,5,1.74968166294996,1798.2867000703,3146.4292638398,0.995747461559447
26,0,363.050418033548,126.936840749784,107.987281454368,3.78418824837748,51.1465784448594,22.3775233680843,45.9391811182556,152.439877543853,94.8655750231214,25.5450240740385,157.645913332221,248.14070069426,49.4223092927636,90.1753893800043,33.5511080293024,1284.25872017442,16.0314171584542,105.312594943319,1.59968213667922,12.528478880183,17.5216608520061,176.83482,81.80733556,3149.23399066376,5,1.75000911503407,1799.5529072444,3149.23399066376,0.995614739317459
27,0,362.792670432145,127.111992423223,108.119901599084,3.79395774126796,51.2213462246832,22.4436519522596,46.0224942861281,152.065040619995,94.5313346169596,25.5602018771175,158.616849354067,249.486944625811,49.6733322050253,90.2122238970634,33.7515673537755,1280.66262955646,16.0481811705628,104.893788957853,1.60393606320307,12.559281044475,17.7594671533071,176.8785102,82.36740319,3151.97449000707,5,1.75060964053726,1800.5010466181,3151.97449000707,0.995616287147019
28,0,362.503213981632,127.27391551609,108.233664611497,3.80321858546726,51.2875429714994,22.5026046628008,46.1059920697573,151.689467799048,94.173844541521,25.5723826039837,159.565660580321,250.857490179831,49.9181472175143,90.2577337201385,33.904492844129,1277.11373765845,16.0650504172971,104.499210796987,1.60817778789173,12.5879235433286,18.0141483613091,176.9054217,82.89479584,3154.51179254649,5,1.75151607290294,1801.0178960666,3154.51179254649,0.995772552458265
29,0,362.176103781982,127.418890963964,108.326394794794,3.81184353952145,51.3436304109842,22.5534016093288,46.1878444663544,151.312017894915,93.7953243813051,25.5809905278243,160.479685861576,252.237927134376,50.1554791972593,90.3157984022989,34.0079059691476,1273.60204743163,16.0813594831816,104.123615098418,1.61236246195214,12.6138841633988,18.2802971301726,176.9134674,83.38253515,3156.74209289399,5,1.75275170210635,1801.0206973985,3156.74209289399,0.996098332571398
30,0,361.809408529608,127.544733488288,108.397241647489,3.81974607767338,51.3887015585315,22.5954239419948,46.2667577802179,150.933417453331,93.3989759626004,25.5857660311086,161.349668164669,253.617448389901,50.3848551849439,90.3908856747162,34.0616371834949,1270.13371180829,16.0965933903612,103.762644650994,1.61646022859795,12.6368020320998,18.5521875212386,176.9016546,83.82602994,3158.59451475165,5,1.75432895508839,1800.4573803506,3158.59451475165,0.996602030081805
31,0,361.404709547428,127.650631740673,108.446540840947,3.82687638752362,51.4224162332296,22.6283895084367,46.3419290538338,150.55607455903,92.9887636872542,25.586741541373,162.169977896525,254.989080473792,50.6065431712481,90.487719093576,34.0673628433555,1266.72947989609,16.110385555468,103.412882910506,1.6204549600617,12.6564701567761,18.8238914078387,176.8701212,84.22296179,3160.02792707442,5,1.75624854758951,1799.3056457821,3160.02792707442,0.997285194437703
32,0,360.966531162981,127.736952755091,108.475647561813,3.83321649658091,51.4449207726071,22.6523185255973,46.412987836873,150.183851562462,92.5691870207726,25.5842114240075,162.938728819265,256.34979216854,50.8214696640677,90.6109466172168,34.0285619277251,1263.4227405766,16.1225128919729,103.071888633567,1.62434276594646,12.6728243495477,19.0894266808584,176.8200636,84.57314595,3161.02727646101,5,1.75849913894814,1797.5711255405,3161.02727646101,0.998142384281153
33,0,360.50172767282,127.805021351703,108.48674936542,3.83877478656019,51.4567562208412,22.6674913644152,46.4799287747032,149.821803956262,92.1450552284668,25.578696582516,163.657773058691,257.700459619613,51.0311200407651,90.7648292566447,33.9503920262158,1260.25721630796,16.1328877077217,102.738206940974,1.62813030526022,12.6859288821887,19.3429294361176,176.753571,84.87836804,3161.59960637112,5,1.76105749641172,1795.2847154696,3161.59960637112,0.999161330120362
