FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
5.61,2.15,2.26,0.05,2.12,3.63,2.4,2,2.18,5.1,5.96,-0.92,0,0.9,-0.13,-1.14,3.11,3.76,2.34,2.25,2.56
2.15,4.06,1.76,0.77,2.06,1.62,3.94,4.02,3.46,1.64,1.65,-0.07,-0.13,0.25,0.14,0.55,1.83,2.44,0.22,1.55,1.76
2.26,1.76,2.58,0.63,1.87,2.26,1.89,1.76,1.67,1.37,1.04,-0.87,-0.06,0.25,0.53,-0.14,2.38,2.59,0.38,1.36,2.38
0.05,0.77,0.63,50.14,-0.58,0.39,0.81,1.1,0.24,-0.1,0.25,0.41,-1.24,0.6,-0.7,2.29,0.03,1.21,-1.1,-0.43,1.62
2.12,2.06,1.87,-0.58,58.1,2.04,1.7,2.38,2.11,0.95,0.89,-0.04,-0.66,1.6,-0.66,0.38,1.87,3.72,0.82,-2.81,2.4
3.63,1.62,2.26,0.39,2.04,10.36,1.5,1.53,2.28,1.28,0.72,-0.19,-0.33,4.57,-1.42,-1.3,2.4,4.79,0.15,3.66,2.15
2.4,3.94,1.89,0.81,1.7,1.5,5.82,3.69,2.4,2.15,2.21,-0.47,-0.14,-0.27,0.44,0.49,2.49,2.6,0.34,1.35,2.07
2,4.02,1.76,1.1,2.38,1.53,3.69,5.61,3.64,1.41,1.36,0.13,-0.29,0.41,0.04,0.92,1.52,2.56,0.14,1.57,1.77
2.18,3.46,1.67,0.24,2.11,2.28,2.4,3.64,11.6,1.45,1.49,-0.1,0.12,0.22,-0.27,-0.19,1.4,2.18,0.51,2.36,1.63
5.1,1.64,1.37,-0.1,0.95,1.28,2.15,1.41,1.45,9.06,12,-0.82,0.5,-1.99,0.88,-0.5,2.72,1.73,4.99,0.79,1.57
5.96,1.65,1.04,0.25,0.89,0.72,2.21,1.36,1.49,12,21.7,-0.69,0.25,-3.75,1.18,0.2,2.16,1.11,7.54,1.13,1.09
-0.92,-0.07,-0.87,0.41,-0.04,-0.19,-0.47,0.13,-0.1,-0.82,-0.69,3.75,-0.47,3.02,-1.53,2.86,-2.02,-0.85,-0.05,0.26,-0.85
0,-0.13,-0.06,-1.24,-0.66,-0.33,-0.14,-0.29,0.12,0.5,0.25,-0.47,1.48,-2.72,1.6,-0.81,0.31,-0.41,0.43,-0.48,-0.03
0.9,0.25,0.25,0.6,1.6,4.57,-0.27,0.41,0.22,-1.99,-3.75,3.02,-2.72,78.36,-10.79,-2.72,0.38,2.09,-3.32,1.75,-0.12
-0.13,0.14,0.53,-0.7,-0.66,-1.42,0.44,0.04,-0.27,0.88,1.18,-1.53,1.6,-10.79,9.16,0.9,0.41,-0.57,1.09,0.15,1.28
-1.14,0.55,-0.14,2.29,0.38,-1.3,0.49,0.92,-0.19,-0.5,0.2,2.86,-0.81,-2.72,0.9,8.71,-2.04,-0.96,0.38,-0.08,0.12
3.11,1.83,2.38,0.03,1.87,2.4,2.49,1.52,1.4,2.72,2.16,-2.02,0.31,0.38,0.41,-2.04,4.86,2.58,0.67,0.84,2.46
3.76,2.44,2.59,1.21,3.72,4.79,2.6,2.56,2.18,1.73,1.11,-0.85,-0.41,2.09,-0.57,-0.96,2.58,16.23,0.23,4.14,2.98
2.34,0.22,0.38,-1.1,0.82,0.15,0.34,0.14,0.51,4.99,7.54,-0.05,0.43,-3.32,1.09,0.38,0.67,0.23,16.67,0.03,0.68
2.25,1.55,1.36,-0.43,-2.81,3.66,1.35,1.57,2.36,0.79,1.13,0.26,-0.48,1.75,0.15,-0.08,0.84,4.14,0.03,142.58,3.16
2.56,1.76,2.38,1.62,2.4,2.15,2.07,1.77,1.63,1.57,1.09,-0.85,-0.03,-0.12,1.28,0.12,2.46,2.98,0.68,3.16,18.5
