"","FoodCarbohydrate","FoodFat","FoodProtein","FoodAlcohol","FoodSodium","FoodFibre","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFruit","FoodVegetable","FoodLegume","FoodRedMeat","FoodProcessedMeat","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc"
"FoodFat",0.701848934113298,1,0.720998490133782,0.0887066319140897,0.662688252106263,0.521663678415447,0.967251748871007,0.771787055370673,0.917375509278897,0.578039115688415,0.35743087380016,0.325876497753128,0.484788033076156,0.294960821445727,0.391263530724012,0.496786253289792,0.589433233828754,0.61108334948793,0.346824442624069,0.634896011880582,0.719008478163189
"FoodProtein",0.700657508327372,0.720998490133782,1,0.125156083713555,0.722806262976852,0.664361061602725,0.703023246323725,0.540456878725707,0.652154057583578,0.520491137496886,0.282901605452617,0.356085338561709,0.533397664522188,0.350873339987412,0.43351027537515,0.508857282349779,0.665517793561967,0.75681484213093,0.433315955476722,0.710506849532258,0.912417286906506
"FoodAlcohol",0.0622697074130522,0.0887066319140897,0.125156083713555,1,0.164645306832781,0.0138565529785505,0.106196347571759,0.0497583265700061,0.07706794247945,0.0488856348518701,0.0266786407392756,-0.0123163254505969,0.135418973421979,0.0592994127305844,0.113480995455878,0.0972775478460048,0.0554012895945023,0.166177666571675,0.0303375428259949,0.074036273309114,0.111754163766318
"FoodSodium",0.648705031821172,0.662688252106263,0.722806262976852,0.164645306832781,1,0.50466841068696,0.666467886633537,0.476803222455718,0.607676539690501,0.417934662391898,0.256397609835447,0.269392660099637,0.438331395981206,0.294263288649656,0.298934443202349,0.540619357141384,0.53204638265719,0.632120101205593,0.240650436418008,0.570564339514812,0.678453772405107
"FoodFibre",0.693728429319376,0.521663678415447,0.664361061602725,0.0138565529785505,0.50466841068696,1,0.501169371356477,0.357893751710785,0.445423282738062,0.501070975382142,0.286653660064045,0.463425600554251,0.531852008030649,0.402049816818566,0.24909289659289,0.296105646239183,0.571275387445006,0.814884391118812,0.535841100538941,0.767800952790448,0.724589403766066
"FoodMonounsaturatedFat",0.668696132044082,0.967251748871007,0.703023246323725,0.106196347571759,0.666467886633537,0.501169371356477,1,0.70204673655565,0.817950788942547,0.526446048180499,0.347934476836914,0.313539339284001,0.462104959273019,0.281870441722193,0.370485337446634,0.494681398943431,0.500811662671825,0.592425100076176,0.321517286423765,0.612908694813438,0.686222294910991
"FoodPolyunsaturatedFattyAcid",0.515860481524456,0.771787055370673,0.540456878725707,0.0497583265700061,0.476803222455718,0.357893751710785,0.70204673655565,1,0.731508526446347,0.414203395018795,0.202204452428225,0.218567204374898,0.370799818960531,0.188588009629321,0.245519164712833,0.33243968911313,0.497485056097991,0.439992412472807,0.242926637461545,0.475569104667696,0.558532534461327
"FoodSaturatedFat",0.661408108501268,0.917375509278897,0.652154057583578,0.07706794247945,0.607676539690501,0.445423282738062,0.817950788942547,0.731508526446347,1,0.586527721106816,0.324886066713948,0.312367133734763,0.447380485292905,0.285112135389611,0.377111443492364,0.463885726247599,0.64466796354703,0.54224809091094,0.303108308193856,0.563596356697388,0.672655928699921
"FoodTotalSugar",0.827920015532187,0.578039115688415,0.520491137496886,0.0488856348518701,0.417934662391898,0.501070975382142,0.526446048180499,0.414203395018795,0.586527721106816,1,0.558756358138274,0.392438551731805,0.414595815088762,0.307085881246335,0.259927032650718,0.33225439237344,0.632063072603689,0.569982787665986,0.522567730936081,0.577945280123814,0.555304261919813
"FoodAddedSugar",0.471310168334543,0.35743087380016,0.282901605452617,0.0266786407392756,0.256397609835447,0.286653660064045,0.347934476836914,0.202204452428225,0.324886066713948,0.558756358138274,1,0.185457884306904,0.191481862555344,0.155191176931046,0.126943156206975,0.193782900415911,0.297043792540184,0.341757180341814,0.25498254477335,0.336191269052066,0.299139288294601
"FoodFruit",0.387038593965839,0.325876497753128,0.356085338561709,-0.0123163254505969,0.269392660099637,0.463425600554251,0.313539339284001,0.218567204374898,0.312367133734763,0.392438551731805,0.185457884306904,1,0.40590711998358,0.219873931945283,0.166366486728415,0.119337637250297,0.312434698880279,0.349192915430345,0.395676841597195,0.431352059244908,0.363083571535124
"FoodVegetable",0.535406404693136,0.484788033076156,0.533397664522188,0.135418973421979,0.438331395981206,0.531852008030649,0.462104959273019,0.370799818960531,0.447380485292905,0.414595815088762,0.191481862555344,0.40590711998358,1,0.433641458824331,0.384460220024862,0.281294884346562,0.456761289166863,0.51906297072552,0.440916433337602,0.513412180764484,0.547087261194197
"FoodLegume",0.358763195754927,0.294960821445727,0.350873339987412,0.0592994127305844,0.294263288649656,0.402049816818566,0.281870441722193,0.188588009629321,0.285112135389611,0.307085881246335,0.155191176931046,0.219873931945283,0.433641458824331,1,0.261415955116832,0.160555908674957,0.312147909871513,0.377965082753162,0.213893003186936,0.297210320385286,0.357927010691742
"FoodRedMeat",0.311672520676637,0.391263530724012,0.43351027537515,0.113480995455878,0.298934443202349,0.24909289659289,0.370485337446634,0.245519164712833,0.377111443492364,0.259927032650718,0.126943156206975,0.166366486728415,0.384460220024862,0.261415955116832,1,0.251625394611913,0.250173056157476,0.331044181561183,0.198497612796222,0.265911066372625,0.453777027160399
"FoodProcessedMeat",0.42912336330274,0.496786253289792,0.508857282349779,0.0972775478460048,0.540619357141384,0.296105646239183,0.494681398943431,0.33243968911313,0.463885726247599,0.33225439237344,0.193782900415911,0.119337637250297,0.281294884346562,0.160555908674957,0.251625394611913,1,0.321966942737589,0.403044550510576,0.2116940810241,0.353580856540585,0.469236861219288
"FoodCalcium",0.661108890972166,0.589433233828754,0.665517793561967,0.0554012895945023,0.53204638265719,0.571275387445006,0.500811662671825,0.497485056097991,0.64466796354703,0.632063072603689,0.297043792540184,0.312434698880279,0.456761289166863,0.312147909871513,0.250173056157476,0.321966942737589,1,0.639635733778425,0.408348229103637,0.580870062568257,0.720424711800033
"FoodIron",0.765714512577893,0.61108334948793,0.75681484213093,0.166177666571675,0.632120101205593,0.814884391118812,0.592425100076176,0.439992412472807,0.54224809091094,0.569982787665986,0.341757180341814,0.349192915430345,0.51906297072552,0.377965082753162,0.331044181561183,0.403044550510576,0.639635733778425,1,0.467564288437124,0.773193229813608,0.795083313669377
