FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
6.25,2.39,2.55,0.43,2.06,3.54,2.67,2.19,2.51,6.21,7.19,-1.37,-0.12,-1.98,0.14,-0.68,3.53,4,3.42,1.61,3
2.39,5.26,2,0.81,2.27,1.57,4.68,5.25,5.04,1.94,2,-0.23,0.05,-0.75,0.5,0.23,2.06,2.45,0.47,1.28,2.34
2.55,2,2.97,0.87,1.98,2.16,2.15,1.89,1.88,1.95,1.63,-1.51,-0.11,-2.76,1.01,-0.21,2.95,2.69,1.09,1.4,2.93
0.43,0.81,0.87,65.63,0.72,-0.62,1.03,1.2,0.21,0.29,0.35,-1.48,-0.09,-5.3,1.54,0.39,0.99,1.5,0.31,-1.52,1.57
2.06,2.27,1.98,0.72,67.15,1.73,2.01,2.47,3.26,1.25,1.3,-0.27,0.1,-0.27,0.26,0.11,2.01,2.59,1.88,-2.82,1.92
3.54,1.57,2.16,-0.62,1.73,10.71,1.57,1.51,2.5,1.53,1.07,0.57,0.16,2.49,-0.85,-0.21,1.74,5.41,1.06,3.49,2.59
2.67,4.68,2.15,1.03,2.01,1.57,6.67,4.24,3.03,2.56,2.57,-0.76,0,-1.5,0.94,0.14,2.97,2.51,0.64,1.36,2.74
2.19,5.25,1.89,1.2,2.47,1.51,4.24,6.98,5.49,1.64,1.71,0.18,0.06,-0.21,0.31,0.34,1.49,2.61,0.23,1.74,2.09
2.51,5.04,1.88,0.21,3.26,2.5,3.03,5.49,14.11,1.56,1.76,0.15,0.13,-1.15,-0.33,0,1.31,2.96,0.82,1.87,1.92
6.21,1.94,1.95,0.29,1.25,1.53,2.56,1.64,1.56,10.97,14.11,-2,-0.2,-3.45,0.77,-0.53,3.9,2.41,6.17,0.59,2.17
7.19,2,1.63,0.35,1.3,1.07,2.57,1.71,1.76,14.11,25.21,-2.14,-0.21,-4.22,1.25,-0.49,3.43,1.78,8.55,0.68,1.56
-1.37,-0.23,-1.51,-1.48,-0.27,0.57,-0.76,0.18,0.15,-2,-2.14,7.39,1.1,12.92,0.09,3.56,-4.17,-0.58,-0.83,0.53,-1.33
-0.12,0.05,-0.11,-0.09,0.1,0.16,0,0.06,0.13,-0.2,-0.21,1.1,0.5,1.79,0.65,0.95,-0.57,0,0.13,0.22,0
-1.98,-0.75,-2.76,-5.3,-0.27,2.49,-1.5,-0.21,-1.15,-3.45,-4.22,12.92,1.79,63.1,-2.82,5.79,-7,-0.03,-2.49,1.37,-2.07
0.14,0.5,1.01,1.54,0.26,-0.85,0.94,0.31,-0.33,0.77,1.25,0.09,0.65,-2.82,12.44,3.65,0.39,0.24,0.5,1.61,1.86
-0.68,0.23,-0.21,0.39,0.11,-0.21,0.14,0.34,0,-0.53,-0.49,3.56,0.95,5.79,3.65,5.59,-1.88,-0.11,-0.51,0.19,0.22
3.53,2.06,2.95,0.99,2.01,1.74,2.97,1.49,1.31,3.9,3.43,-4.17,-0.57,-7,0.39,-1.88,6.57,2.52,1.73,0.04,3.32
4,2.45,2.69,1.5,2.59,5.41,2.51,2.61,2.96,2.41,1.78,-0.58,0,-0.03,0.24,-0.11,2.52,16.72,1.12,3.68,3.69
3.42,0.47,1.09,0.31,1.88,1.06,0.64,0.23,0.82,6.17,8.55,-0.83,0.13,-2.49,0.5,-0.51,1.73,1.12,19.01,0.68,0.98
1.61,1.28,1.4,-1.52,-2.82,3.49,1.36,1.74,1.87,0.59,0.68,0.53,0.22,1.37,1.61,0.19,0.04,3.68,0.68,148.31,3.53
3,2.34,2.93,1.57,1.92,2.59,2.74,2.09,1.92,2.17,1.56,-1.33,0,-2.07,1.86,0.22,3.32,3.69,0.98,3.53,20.1
