"Age","Gender","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFibre","FoodFruit","FoodVegetable","FoodRedMeat","FoodProcessedMeat","FoodLegume","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc","FoodAlcohol","PhysicalActivity"
0,1,59.0659412452131,20.296569542175,15.4233613848557,0.561928619975384,8.08432723854262,3.50206913011659,7.40321435664008,25.8731775196593,16.66228333219,4.0908442055255,24.2028074701186,39.9554174613568,7.0659194273464,12.8949006948933,4.64292244348598,222.08669738104,2.48914781401332,20.9572233321672,0.244661223226087,1.83875247705622,0,1.66919788909734
1,1,89.4251088329976,30.7316129445458,23.3622487421593,0.851449729172283,12.2420460652427,5.30234192961503,11.2089569464425,39.16603935759,25.2492157472311,6.19383723375429,36.6313124463154,60.5187135388757,10.7043430624474,19.5407016139348,7.03247388911467,336.088679192902,3.76848247598749,31.7113071090076,0.37054763574923,2.78423692187195,0,1.66919878251091
2,1,106.875855752035,36.7356682545538,27.9484196381283,1.01925018450637,14.6369450052271,6.33772486349254,13.3977278573179,46.7956364607426,30.2297676816849,7.40340780267331,43.753293371744,72.3920789173616,12.8089646258666,23.396263019231,8.41260748754276,401.324476361394,4.5037598967112,37.8578774041622,0.443176637249999,3.32849446739084,0,1.66920066690204
3,1,121.335195652077,41.7179567695888,31.775204383239,1.1598920623974,16.6273823545696,7.19646183682373,15.2127926248995,53.1039905471306,34.4076509727741,8.40665626410839,49.6304399560004,82.2933908090058,14.5684095874825,26.6317901348269,9.56476778849932,455.034470449374,5.11292574387262,42.9102348845542,0.503676884938191,3.78040514712164,0,1.6692037405107
4,1,133.51790726428,45.925488349472,35.0312277971206,1.28027042558357,18.3119562124233,7.92126466083594,16.7439978692476,58.4029847251011,37.9861391732857,9.25339273967842,54.5568644752342,90.7118536672341,16.0694837160491,29.4051423502431,10.547138425865,499.883432740464,5.62616779931973,47.1197724434498,0.555043195621931,4.16234045331998,0,1.66920830830092
5,1,145.39509630056,50.0377672407205,38.2346110394222,1.39930551206688,19.9616862076815,8.62950240195281,18.238805361533,63.5540244516432,41.5246161367938,10.080610760646,59.3416583178054,98.9903781225651,17.5502076021426,32.1500392434881,11.5177396781433,543.243222615406,6.12665317888738,51.181886986226,0.605496394197339,4.53586122649004,0,1.66921479059253
6,1,156.80930791591,54.0027790842879,41.3457918330613,1.51553774100591,21.5559858001724,9.31241785007996,19.6778608719484,68.4869971262198,44.9772106261472,10.8779498581193,63.9251313005342,107.028061116447,18.9929825762318,34.8319099615964,12.4673516934889,584.508909263672,6.60790194642438,55.040119892052,0.654423349559406,4.89623462967444,0,1.66922373374632
7,1,168.882222164532,58.2093888866361,44.6623206733273,1.63984046488332,23.2502097766919,10.0373413933758,21.2023958976578,73.6905176444069,48.6633820845106,11.7239265114007,68.7709963237181,115.597119567189,20.5351713108115,37.6992880049673,13.489031669906,627.848930609855,7.11739386661457,59.0878508732674,0.706552545421804,5.27870397381337,0,1.66923582219577
8,1,181.200234336297,62.5183674220752,48.0776333682419,1.76826441009834,24.9889641746093,10.7805880661421,22.761105549214,78.9823336534173,52.4620780953135,12.5907571419565,73.7185909515722,124.423958606383,22.1287329038591,40.6597888541349,14.5546541654735,671.704625571182,7.63798165024726,63.1793075167944,0.760219224281003,5.67065199905385,0,1.66925189094596
9,1,193.631289835766,66.8874403495232,51.5585130512124,1.8995036146304,26.7554175025489,11.5352386354682,24.3380224608564,84.3037209367568,56.3302262381106,13.4702955662706,78.724417418938,133.425210681307,23.7593401254751,43.6814597307583,15.6584952594471,715.583189344863,8.16444982082886,67.2696021200495,0.814926450217305,6.06827035241303,0,1.66927293749882
