FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
1.34,0.61,0.65,0.03,0.57,0.83,0.49,0.67,0.84,1.04,0.86,0.05,0.14,0.67,0.07,0.08,0.62,1.02,0.54,0.65,0.72
0.61,1.46,0.49,-0.02,0.93,0.73,0.96,1.42,1.71,0.07,0.18,0.38,-0.01,1.3,0.34,0.25,0,0.85,-0.18,0.91,0.52
0.65,0.49,1.11,-0.2,0.71,0.49,0.47,0.48,0.62,0.53,0.4,-0.28,0.03,0.11,1.03,-0.03,0.85,0.57,0.22,-0.04,0.95
0.03,-0.02,-0.2,53.86,-1.47,0.4,0.01,0.4,-0.24,-0.21,-0.23,-0.12,-0.59,0.66,-0.34,-0.2,-0.29,-0.37,-1.11,-0.01,-0.14
0.57,0.93,0.71,-1.47,72.19,0.33,0.86,0.93,2.06,0.05,0.44,0.35,-0.26,0.63,1.09,0.22,-0.06,2.45,1.32,-1.72,0.76
0.83,0.73,0.49,0.4,0.33,5.11,0.36,0.87,1.31,0.22,-0.05,0.47,0.19,2.36,0.01,0.22,0.05,1.38,-0.19,0.74,0.39
0.49,0.96,0.47,0.01,0.86,0.36,1.92,1,0.88,0.26,0.33,0.14,-0.05,0.7,0.42,0.16,0.31,0.62,-0.13,0.65,0.62
0.67,1.42,0.48,0.4,0.93,0.87,1,2.64,1.94,0.04,0.14,0.44,0.01,1.42,0.54,0.21,-0.08,1.08,-0.11,1.53,0.41
0.84,1.71,0.62,-0.24,2.06,1.31,0.88,1.94,10.23,0.09,0.1,0.67,0.02,1.73,0.3,0.39,-0.2,0.97,-0.36,1.71,0.38
1.04,0.07,0.53,-0.21,0.05,0.22,0.26,0.04,0.09,2.16,1.92,-0.2,0.2,-0.44,0.26,-0.07,1.15,0.56,1.47,-0.08,0.62
0.86,0.18,0.4,-0.23,0.44,-0.05,0.33,0.14,0.1,1.92,3.92,-0.29,0,-0.83,0.23,0.13,0.84,0.32,2.05,0.11,0.22
0.05,0.38,-0.28,-0.12,0.35,0.47,0.14,0.44,0.67,-0.2,-0.29,1.71,0.28,3.02,-0.19,0.21,-0.94,0.44,0.02,0.66,-0.25
0.14,-0.01,0.03,-0.59,-0.26,0.19,-0.05,0.01,0.02,0.2,0,0.28,0.81,0.7,-0.58,-0.48,0.15,0.21,0.41,-0.13,-0.12
0.67,1.3,0.11,0.66,0.63,2.36,0.7,1.42,1.73,-0.44,-0.83,3.02,0.7,40.52,1.5,0.37,-1.43,1.76,-1.51,1.25,0.57
0.07,0.34,1.03,-0.34,1.09,0.01,0.42,0.54,0.3,0.26,0.23,-0.19,-0.58,1.5,17.37,0.71,0.1,0.3,-0.36,0.09,1.42
0.08,0.25,-0.03,-0.2,0.22,0.22,0.16,0.21,0.39,-0.07,0.13,0.21,-0.48,0.37,0.71,1.91,-0.52,0.25,-0.61,0.43,0.26
0.62,0,0.85,-0.29,-0.06,0.05,0.31,-0.08,-0.2,1.15,0.84,-0.94,0.15,-1.43,0.1,-0.52,2.13,0.19,0.86,-1.07,0.83
1.02,0.85,0.57,-0.37,2.45,1.38,0.62,1.08,0.97,0.56,0.32,0.44,0.21,1.76,0.3,0.25,0.19,12.66,0.47,1.66,0.72
0.54,-0.18,0.22,-1.11,1.32,-0.19,-0.13,-0.11,-0.36,1.47,2.05,0.02,0.41,-1.51,-0.36,-0.61,0.86,0.47,10.7,-0.38,-0.37
0.65,0.91,-0.04,-0.01,-1.72,0.74,0.65,1.53,1.71,-0.08,0.11,0.66,-0.13,1.25,0.09,0.43,-1.07,1.66,-0.38,102.28,0.32
0.72,0.52,0.95,-0.14,0.76,0.39,0.62,0.41,0.38,0.62,0.22,-0.25,-0.12,0.57,1.42,0.26,0.83,0.72,-0.37,0.32,18.66
