Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
10,0,262.525853860702,89.5024019173243,75.2881289637222,2.60558477735073,1970.30607284128,35.7583243100089,15.2257709029354,32.7624366335899,113.743169846666,68.7391725357829,18.1243530128236,106.684681889545,170.360211812362,32.9978133363571,63.2948731937589,20.0929712816773,968.385209034096,11.4803534237832,83.2081024085966,1.11005834324833,8.67224544118188,0,140.7,33.1,1.849970964,1165.844,2156.77754855362,1.09464086736709,626.8629919
11,0,276.945987145654,94.4914383598461,79.5910637123618,2.75537537108649,1986.54391545971,37.7807857093414,16.1027967250852,34.5358045184525,119.787328218004,72.6815287849997,19.1356331496508,112.564669415827,179.806056873224,34.9165303743737,66.9795108339194,21.4147616438964,1019.00063074718,12.1098437729127,87.2623485669234,1.1732304904923,9.16357648737299,0,145.7,36.5,1.856697562,1226.14,2276.57114867068,1.1459958830781,628.187181
12,0,292.049681089891,99.7331754381801,84.1166530579266,2.91308594221192,2003.28374936569,39.9074465496739,17.0286978415486,36.3971874871212,126.093610908939,76.8061678382379,20.1972876195021,118.783398185505,189.757544603463,36.9466301165047,70.8465708607173,22.8334768329105,1071.75383769815,12.7694215087375,91.4580539777348,1.23966282597089,9.6809944586427,0,151.6,40.5,1.850664198,1298.055,2402.26391553489,1.19916308226208,629.7062093
13,0,310.04452544812,105.985246765092,89.5032344582039,3.10087646130909,2020.33409260077,42.4414977685331,18.1336031035442,38.6234895330102,133.61183063931,81.6890259391309,21.4624262854031,126.256732067349,201.667444143405,39.3713765981762,75.4301998924796,24.5274131733486,1134.71585645191,13.5558419216256,96.4823135313951,1.3187748419264,10.2982411899354,0,158.5,46,1.834422864,1391.205,2552.05826051112,1.26318625709368,631.4356354
14,0,327.923392017102,112.224166505373,94.8860428213396,3.28885524944401,2037.5115093739,44.9732154190784,19.2433019569014,40.8420279732709,141.041797470439,86.533119781445,22.7234254281381,133.780189955437,213.601624724226,41.8136187890705,79.998053385215,26.2653772057359,1196.83919724609,14.3379357328695,101.39346650737,1.39784157192286,10.9161106267065,0,165.5,52.2,1.810525551,1491.973,2701.25523790212,1.32576195298754,633.3905039
15,0,341.647862371467,117.06845281291,99.0929079066043,3.43642387207251,2054.64488186327,46.9480493354543,20.1204316702953,42.552109342648,146.650992123249,90.263697709157,23.7002549818004,139.719003480546,222.943530228149,43.7576921531608,83.5574397380102,27.719972441843,1243.44724702224,14.9395005849923,104.958156673416,1.45962533526096,11.4000989879033,0,171.1,58.1,1.781524254,1580.994,2816.57915642848,1.37083501937047,635.5848802
16,0,368.513291119593,126.448984969525,107.14274635652,3.71771746012578,2152.5532238004,50.7443988218365,21.7849842310191,45.9102261899232,157.860224851299,97.443811661427,25.5931890740445,151.167861584322,241.005539896795,47.4230281748609,90.3365483879998,30.2991324853384,1337.45960864016,16.1173162769144,112.488039045871,1.57808669025226,12.3279577086241,16.9790751329876,176.2776202,77.36989444,1.754371544,1800.9403717056,3159.51854056109,1.46780042678009,638.0313815
17,0,367.524617864267,126.29953141227,107.114238277586,3.71912201688307,2169.31454933728,50.7168357727035,21.8131135683299,45.8106902862823,157.111375705079,97.2273578758154,25.5550179398593,151.318176461414,240.990004634059,47.5334702292464,90.2818347265649,30.6281697635531,1330.13119885989,16.0788472520951,111.480675740428,1.57767449284909,12.3282329209879,16.8475527673248,176.2931612,77.48436386,1.754438551,1797.2610524614,3153.18407664911,1.45353935767978,640.7407191
18,0,366.746715438153,126.236215484885,107.146388062969,3.72291046773916,2185.78991547558,50.7215588087511,21.8570518890425,45.7490769906491,156.452732386237,97.0284674069163,25.5325034092603,151.644925509497,241.214194605908,47.6823529926139,90.2574011990068,30.9800717256014,1323.62150767911,16.051569890686,110.563071756544,1.57830002807058,12.337267356902,16.7649612609842,176.3236679,77.70843357,1.754571769,1794.7701757393,3149.05308219534,1.44069338956126,643.7212726
19,0,366.160386551848,126.251658444413,107.232633613358,3.72887321827639,2201.89076371675,50.7554725740052,21.9149957235771,45.722897113133,155.877511702964,96.8421188444537,25.5241916334927,152.136063818563,241.667557733027,47.8659173508741,90.2595481378752,31.3486461540501,1317.87461746544,16.034880971661,109.73381698879,1.57989149427796,12.3542660198694,16.7298771800389,176.3679629,78.03276622,1.754769641,1793.3671026628,3146.94614692081,1.42920175640722,646.9787109
20,0,365.738244779736,126.335405224495,107.364049627012,3.73671343678032,2217.55374265169,50.8142633472176,21.9845620999041,45.7284491228501,155.375349284239,96.6617601844655,25.5280450522641,152.774376872709,242.332528262861,48.079236850266,90.2833148107368,31.7265095852406,1312.80353611129,16.0277801168267,108.988307821671,1.58234159636858,12.3781278968069,16.7404122316341,176.4242269,78.44430363,1.755029918,1792.9100113887,3146.61071026889,1.41895578436185,650.5156743
21,0,365.446794557082,126.474642653601,107.529925101906,3.74606593932683,2232.74064825112,50.8926789909185,22.0629194347315,45.7610903273391,154.933217294307,96.4798149148323,25.5415837497645,153.538405327982,243.185697535509,48.3165044158259,90.3229633353571,32.1053233000294,1308.2981998516,16.0289475044368,108.319355543346,1.58551524466367,12.4075125757872,16.7942262403562,176.4899715,78.9272624,1.755349755,1793.225673251,3147.73824620085,1.40980917271625,654.3315279
