Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,EnergyIntake,inc_quintile,PhysicalActivity,BMR,steadystate,ratio
0,1,42.446128069423,14.5440501267254,11.2113091454449,0.410092733200588,5.81348527973494,2.46825277138578,5.38865613232591,18.7426078943055,12.4061363539246,2.93527559888096,17.3030406967506,28.68058362878,5.17327444074663,9.21017488625135,3.13028131352375,159.279760381234,1.78985554585236,14.9970982161198,0.175287325485765,1.32751455886021,0,62,6.15,345.5262,1,1.2,287.9385,345.5262,1
1,1,69.06188731693,23.6657121072758,18.2468659057428,0.66766212751837,9.46050852206988,4.01630565738641,8.76700113351802,30.4910176903148,20.2031479028206,4.77551458019339,28.1429086936138,46.6816740323745,8.41976040304142,14.9981141145425,5.09632170004389,259.036723273901,2.91196742743684,24.3899781554185,0.285296973723743,2.16003467150827,0,80,10.2,562.226421856174,1,1.28957521218083,435.978,562.226421856174,0.998886797793293
2,1,88.1797464059604,30.2217569535682,23.3120741876698,0.853552588277138,12.0837354559592,5.12903096054909,11.1924200888265,38.9211267365589,25.8403048857837,6.09673145984214,35.90894549662,59.6473810449987,10.7572164568271,19.1818999378644,6.51547235341689,330.443059957906,3.71754234079703,31.1138413963171,0.364518686940462,2.75826151561069,0,90.5,12.65,717.963094956634,1,1.37762906094141,521.1585,717.963094956634,0.997932798536287
3,1,106.296014334176,36.4399136253181,28.1267871250902,1.03081250458233,14.574269809178,6.18460400277281,13.4893498039813,46.898421773998,31.2269075718323,7.3481213127897,43.2446458758127,71.9792755191419,12.979496822615,23.1791083789317,7.86977073505741,397.797714536031,4.48042456028067,37.4567271725595,0.439850846721789,3.32548857692783,0,99,14.9,865.650428464927,1,1.46264018286149,591.841,865.650428464927,0.997116883536283
4,1,123.415041758992,42.32365489434,32.6955517734987,1.19970555150016,16.9340070936874,7.18379789653896,15.6582462681044,54.4221706825945,36.3709314540656,8.5301429629639,50.1503268041515,83.6903881328674,15.0891568007988,26.9962518971034,9.16270283387998,461.05773488323,5.20078858068177,43.4147418917718,0.511373668952328,3.86200129642025,0,105.5,17.3,1005.35526817903,1,1.54308721452081,651.522,1005.35526817903,0.996420814330206
5,1,140.887274470121,48.3385202609256,37.3794740377127,1.37355215683683,19.3496596712498,8.20590243708434,17.8705150108409,62.0852443803379,41.6744261449026,9.73650935373717,57.1761193668908,95.706166416419,17.2535675246136,30.9328346429147,10.4983058981049,525.218892900383,5.93561212535119,49.4584750356007,0.584745620702267,4.41026012309112,0,112.1,19.5,1148.11367637966,1,1.61744879249914,709.83,1148.11367637966,0.995829270638897
6,1,158.240346351292,54.3255760963747,42.0571405140682,1.54795112177388,21.7580852372445,9.2243100475086,20.0664386758805,69.676450680102,47.000573567392,10.9351813150153,64.133998582217,107.716846274648,19.4177412005387,34.8889072286966,11.8462219793155,588.470066994199,6.66513857097272,55.4175986629686,0.658080669526512,4.95575846948469,0,118.2,21.8,1290.12013232882,1,1.68420355337621,766.012,1290.12013232882,0.995329693498888
7,1,176.280294059385,60.5651401629883,46.9466391624602,1.73094977111866,24.271946493546,10.2870765339605,22.3486323979712,77.547821372537,52.5884445651895,12.1827496668298,71.3578518496366,120.28168727895,21.6837762337435,39.0440863483427,13.2722650796701,653.772564315693,7.42357225756484,61.5712398287024,0.734805872392165,5.52409430291434,0,124.2,24.5,1437.99399435428,1,1.74183013373178,825.565,1437.99399435428,0.994912066549442
8,1,194.268017950214,66.8075050760245,51.855459896115,1.91544251835784,26.7915489239585,11.3523308695102,24.6239641810297,85.3711976391704,58.2152788957623,13.42932043769,78.5586977121093,132.907908374078,23.9645698485776,43.2356686840208,14.7271720770653,718.354412150237,8.18015110590337,67.6586523295161,0.811924629244542,6.09255944082068,0,130.1,27.4,1585.76145706953,1,1.78880717014559,886.491,1585.76145706953,0.994568724746214
9,1,211.666456026645,72.8718758874931,56.6433991848702,2.09616127113862,29.2444943094365,12.3898842854428,26.8251641297222,92.9087689087376,63.7124081640093,14.6392057642015,85.5336003417968,145.235609448111,26.1973601033517,47.3413490372598,16.1759701416448,780.234874166652,8.91275382368963,73.4935859886535,0.887255798175206,6.64480157564513,0,135.8,30.5,1729.0863038335,1,1.8236132991974,948.165,1729.0863038335,0.99429422140897
