FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
2.35,1.29,0.94,0.23,1.09,1.42,1.31,1.35,1.1,2.12,2.73,0.03,-0.03,0.6,-0.16,0,1.1,1.57,0.3,1.29,0.91
1.29,2.04,0.77,-0.1,1.04,0.93,1.97,2.22,1.68,1.08,1.33,0.16,-0.05,0.55,-0.15,0.33,0.86,1.12,0.24,1.05,0.78
0.94,0.77,0.73,0.08,0.76,0.8,0.77,0.8,0.69,0.6,0.59,0.03,-0.03,0.6,-0.06,0.19,0.71,0.88,0.12,0.74,0.68
0.23,-0.1,0.08,14.94,-0.15,-0.03,0,-0.11,-0.19,0.43,0.71,-0.47,0.08,-2.76,0.57,-0.41,0.12,0.13,-0.36,0.1,0.12
1.09,1.04,0.76,-0.15,1.58,1.05,0.91,1.24,1.03,0.56,0.6,0.23,-0.09,0.83,-0.26,0.63,0.73,1.06,0.25,0.8,0.69
1.42,0.93,0.8,-0.03,1.05,1.81,0.86,0.96,0.99,0.63,0.56,0.23,-0.09,2.13,-0.48,0.22,0.81,1.51,0.16,1.18,0.83
1.31,1.97,0.77,0,0.91,0.86,2.34,1.91,1.27,1.27,1.59,0.04,-0.04,0.23,-0.05,0.25,1.03,1.12,0.13,1.09,0.8
1.35,2.22,0.8,-0.11,1.24,0.96,1.91,2.8,1.94,1.04,1.26,0.26,-0.08,0.61,-0.2,0.54,0.77,1.14,0.33,1.07,0.81
1.1,1.68,0.69,-0.19,1.03,0.99,1.27,1.94,1.95,0.74,0.88,0.23,-0.03,0.88,-0.24,0.23,0.61,0.98,0.24,0.86,0.65
2.12,1.08,0.6,0.43,0.56,0.63,1.27,1.04,0.74,3.48,5.12,-0.1,0.02,-0.27,0.15,-0.11,0.91,0.95,0.39,0.86,0.56
2.73,1.33,0.59,0.71,0.6,0.56,1.59,1.26,0.88,5.12,9.07,-0.18,0,-1.34,0.41,0.02,0.87,0.99,0.53,0.99,0.55
0.03,0.16,0.03,-0.47,0.23,0.23,0.04,0.26,0.23,-0.1,-0.18,0.7,-0.1,1.78,-0.38,0.77,-0.08,0.05,0.24,0.05,0.01
-0.03,-0.05,-0.03,0.08,-0.09,-0.09,-0.04,-0.08,-0.03,0.02,0,-0.1,0.1,-0.28,0.17,-0.35,0.02,-0.06,-0.03,-0.04,-0.02
0.6,0.55,0.6,-2.76,0.83,2.13,0.23,0.61,0.88,-0.27,-1.34,1.78,-0.28,43.8,-3.01,0.17,0.76,0.98,0.72,0.64,0.52
-0.16,-0.15,-0.06,0.57,-0.26,-0.48,-0.05,-0.2,-0.24,0.15,0.41,-0.38,0.17,-3.01,1.9,-0.17,-0.18,-0.27,0.03,-0.17,-0.02
0,0.33,0.19,-0.41,0.63,0.22,0.25,0.54,0.23,-0.11,0.02,0.77,-0.35,0.17,-0.17,3.32,-0.32,0.15,0.55,0.13,0.14
1.1,0.86,0.71,0.12,0.73,0.81,1.03,0.77,0.61,0.91,0.87,-0.08,0.02,0.76,-0.18,-0.32,1.32,0.9,0.03,0.72,0.73
1.57,1.12,0.88,0.13,1.06,1.51,1.12,1.14,0.98,0.95,0.99,0.05,-0.06,0.98,-0.27,0.15,0.9,1.96,0.16,1.27,0.9
0.3,0.24,0.12,-0.36,0.25,0.16,0.13,0.33,0.24,0.39,0.53,0.24,-0.03,0.72,0.03,0.55,0.03,0.16,1.5,0.18,0.11
1.29,1.05,0.74,0.1,0.8,1.18,1.09,1.07,0.86,0.86,0.99,0.05,-0.04,0.64,-0.17,0.13,0.72,1.27,0.18,1.36,0.81
0.91,0.78,0.68,0.12,0.69,0.83,0.8,0.81,0.65,0.56,0.55,0.01,-0.02,0.52,-0.02,0.14,0.73,0.9,0.11,0.81,0.74
