FoodCarbohydrate,FoodFat,FoodProtein,FoodAlcohol,FoodSodium,FoodFibre,FoodSaturatedFat,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodTotalsugar,FoodAddedsugar,FoodFruit,FoodVegetable,FoodLegume,FoodRedMeat,FoodProcessedMeat,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc
1.16,0.57,0.63,0.2,0.56,0.88,0.48,0.66,0.75,0.82,0.88,-0.03,-0.02,0.42,0.09,0.12,0.61,0.9,0.59,0.8,0.71
0.57,1.28,0.44,0.23,0.82,0.74,0.85,1.27,1.34,0.1,0.22,0.29,0.07,0.84,0.2,-0.07,0.09,0.67,-0.06,1.08,0.41
0.63,0.44,1.23,0.08,0.54,0.56,0.48,0.43,0.49,0.53,0.42,-0.33,-0.01,0.14,1.13,0.05,1.06,0.57,0.37,0.31,1.02
0.2,0.23,0.08,46.75,-2.27,0.34,0.21,0.61,0.16,-0.05,-0.08,0.15,-0.25,0.43,-0.69,-0.22,0.03,0.31,-0.83,-0.25,0.3
0.56,0.82,0.54,-2.27,72.91,0.4,0.65,1.16,1.98,0.03,0.56,0.38,0,1.18,0.73,-0.05,-0.11,2.59,1.68,-3.5,0.98
0.88,0.74,0.56,0.34,0.4,5.12,0.37,0.9,1.4,0.09,0,0.26,0.05,1.81,0.17,0.15,0.12,1.2,-0.32,0.91,0.47
0.48,0.85,0.48,0.21,0.65,0.37,1.96,0.88,0.62,0.32,0.38,0.02,-0.03,0.17,0.28,0.01,0.5,0.46,0.07,0.66,0.57
0.66,1.27,0.43,0.61,1.16,0.9,0.88,2.53,1.57,0.05,0.15,0.4,0.11,1,0.28,-0.17,-0.05,0.83,-0.06,1.71,0.28
0.75,1.34,0.49,0.16,1.98,1.4,0.62,1.57,9.5,0.06,0.26,0.43,0.11,1.13,0.06,-0.02,-0.25,1.01,0.09,2.72,0.04
0.82,0.1,0.53,-0.05,0.03,0.09,0.32,0.05,0.06,1.69,1.89,-0.37,-0.03,-0.43,0.31,0.13,1.06,0.39,1.72,-0.09,0.57
0.88,0.22,0.42,-0.08,0.56,0,0.38,0.15,0.26,1.89,4.18,-0.22,-0.1,-0.74,0.29,0.26,0.74,0.33,2.96,0.28,0.34
-0.03,0.29,-0.33,0.15,0.38,0.26,0.02,0.4,0.43,-0.37,-0.22,0.92,0.19,1.89,-0.3,-0.14,-0.87,0.19,-0.43,0.81,-0.33
-0.02,0.07,-0.01,-0.25,0,0.05,-0.03,0.11,0.11,-0.03,-0.1,0.19,0.56,1.07,-0.03,-0.56,-0.02,0.03,0.05,0.29,-0.17
0.42,0.84,0.14,0.43,1.18,1.81,0.17,1,1.13,-0.43,-0.74,1.89,1.07,41.09,1.68,-0.9,-0.98,1.38,-1.64,1.4,0.64
0.09,0.2,1.13,-0.69,0.73,0.17,0.28,0.28,0.06,0.31,0.29,-0.3,-0.03,1.68,16.27,0.44,0.61,0.34,-0.01,-0.05,1.18
0.12,-0.07,0.05,-0.22,-0.05,0.15,0.01,-0.17,-0.02,0.13,0.26,-0.14,-0.56,-0.9,0.44,1.78,-0.11,0.04,-0.38,-0.28,0.26
0.61,0.09,1.06,0.03,-0.11,0.12,0.5,-0.05,-0.25,1.06,0.74,-0.87,-0.02,-0.98,0.61,-0.11,2.35,0.26,0.94,-0.96,1.06
0.9,0.67,0.57,0.31,2.59,1.2,0.46,0.83,1.01,0.39,0.33,0.19,0.03,1.38,0.34,0.04,0.26,12.94,0.53,0.9,0.85
0.59,-0.06,0.37,-0.83,1.68,-0.32,0.07,-0.06,0.09,1.72,2.96,-0.43,0.05,-1.64,-0.01,-0.38,0.94,0.53,12.98,-0.24,-0.06
0.8,1.08,0.31,-0.25,-3.5,0.91,0.66,1.71,2.72,-0.09,0.28,0.81,0.29,1.4,-0.05,-0.28,-0.96,0.9,-0.24,122.79,0.56
0.71,0.41,1.02,0.3,0.98,0.47,0.57,0.28,0.04,0.57,0.34,-0.33,-0.17,0.64,1.18,0.26,1.06,0.85,-0.06,0.56,19.17
