Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
10,1,230.195531233123,79.3546110508712,61.7742818721678,2.29014504199351,1780.59213750503,31.8701795655499,13.5016846804285,29.1711428353011,100.913822282909,69.5882910695071,15.9330658193201,92.9942780226033,158.453119873453,28.5990398513456,51.7422363635791,17.7562661055763,845.766458045232,9.6944084336844,79.6747813499735,0.9680794468829,7.2354035459947,0,141.4,34.1,1.855703067,1014.209,1882.070751879,1.05699149863492,626.8629919
11,1,246.681546541913,85.1658234110691,66.4000826818377,2.46578879410897,1790.8648487773,34.2308835222566,14.5028100505922,31.2607518373406,107.993875702679,74.872930010402,17.0931303978007,99.6770453461291,170.383797829021,30.7795742301733,55.7205096850426,19.229221819345,903.312205962451,10.3921600951972,85.1064072350397,1.04111993867559,7.76527250131862,0,147.1,38,1.862593867,1083.875,2018.81892759462,1.12728714786767,628.187181
12,1,262.70215785772,90.8515604514628,70.9451379813457,2.63856238083636,1801.03848064568,36.5454673731818,15.4864421769543,33.2950001552758,114.841921291243,80.0277780088812,18.2303750914236,106.238402962429,182.113262475443,32.93753275279,59.6220261033908,20.7192349026842,958.743493939137,11.0731846250404,90.3418951838446,1.11303237573034,8.2845581430956,0,152.75,42.5,1.856635139,1159.2225,2152.25322741943,1.19500679777138,629.7062093
13,1,277.070242000592,96.0027804558412,75.0896487345719,2.79629085934267,1810.94559456825,38.6488951775579,16.3829946999894,35.1244510002177,120.941017109307,84.6765113791527,19.264133736052,112.21632189085,192.817442914342,34.9263302063919,63.1688214203574,22.1341735538688,1007.80804913079,11.688186145093,94.9808969853126,1.17880227564703,8.75638279257806,0,157.65,47.5,1.84039679,1234.8775,2272.66458704323,1.25496016769353,631.4356354
14,1,285.934074915686,99.2810601227678,77.7838356736929,2.89951631064408,1820.43850324393,40.0010646079237,16.9635908350758,36.2614747022123,124.616871100575,87.6228578736571,19.9271968755624,116.061949727884,199.795838560834,36.2575198336393,65.4682888548499,23.15942028284,1036.6567935958,12.075134942676,97.7181631135511,1.22193136014377,9.05906755804391,0,161,51.7,1.816448725,1292.853,2348.40118346243,1.29001950863909,633.3905039
15,1,288.17459192514,100.285537903689,78.7066978615324,2.935870462065,1829.3931118956,40.4381396325615,17.1583361287201,36.5639738308826,125.395624976059,88.5017449542647,20.139932131872,117.316564551215,202.21756648334,36.7776546807725,66.242896069426,23.6843709521465,1041.49407888129,12.186552158475,98.1951526754484,1.23732648880603,9.1562419321571,0,162.7,54.45,1.787360849,1326.0305,2370.09500027989,1.29556353135277,635.5848802
16,1,301.333113420306,105.118564137139,82.6477427554932,3.08376917898758,1876.21220996432,42.4201422493367,18.0109099861478,38.2580103885957,130.914154728409,92.6926678617049,21.1288640609535,123.127770581264,212.38494969773,38.7244836351942,69.5193816583412,25.1461242991589,1085.79538316783,12.7646368209684,102.396765769405,1.3002740842127,9.60546443028828,7.42830048277281,163.0317,66.22615967,1.758703714,1440.8274601033,2533.98860531686,1.35058741855488,638.0313815
17,1,300.000536075888,104.921117917652,82.6465703543251,3.08335204221692,1883.96075285809,42.3724942868278,18.0036967979965,38.1184523739623,130.131073449364,92.38028008649,21.1145564472975,123.128388545928,212.410220839558,38.8388143583305,69.4400577733497,25.4299060018574,1077.96885085437,12.7339027789425,101.686320747276,1.30128834868093,9.59777735892022,7.40227879657746,163.029912,66.30654989,1.758679977,1436.6993834011,2526.69443855576,1.34116086798656,640.7407191
18,1,298.781893790461,104.773401931526,82.6912771420638,3.08330252433903,1891.09476051867,42.3434055401371,18.0054657046589,37.9983081795643,129.403952308394,92.0516480152604,21.1174827901638,123.261357269385,212.53874234712,38.9826885102634,69.3629252452065,25.7309235540925,1070.82216673291,12.7120005601008,101.042920855766,1.30305875145985,9.59720299747086,7.40733113664135,163.0261472,66.46451213,1.758630439,1433.3338961787,2520.70461907033,1.33293406110383,643.7212726
19,1,297.669723764755,104.67020596713,82.7786516584431,3.08345105586379,1897.59474877537,42.3305013762752,18.0148984869496,37.896464626449,128.731803012732,91.707307754967,21.1366587605456,123.51917824686,212.761699813834,39.1526841375452,69.2877975251606,26.0428998665473,1064.34611115586,12.6985428514462,100.465954782545,1.30552831789502,9.60339683452206,7.44107964734408,163.0200673,66.69452879,1.758551095,1430.6737632371,2515.91291292837,1.32584310456805,646.9787109
20,1,296.651964802939,104.604551885325,82.9038488807963,3.08359839081245,1903.46538677851,42.3306971794375,18.0303917587957,37.8111668631157,128.111483359466,91.3473506449362,21.1705532468459,123.890968210757,213.066725631657,39.3442367469088,69.2141318899317,26.3588009852803,1058.50924413355,12.692848773629,99.9527308582796,1.30861412882905,9.61578168191243,7.5003337645161,163.0112561,66.98862565,1.758436222,1428.6367208685,2512.16655805447,1.31978578413036,650.5156743
