"Age","Gender","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFibre","FoodFruit","FoodVegetable","FoodRedMeat","FoodProcessedMeat","FoodLegume","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc","FoodAlcohol","PhysicalActivity"
0,1,60.4472019281922,20.7712060741075,15.7840376431386,0.575069355449156,8.27337973017359,3.58396523295567,7.57633898147322,26.4782233734666,17.0519318567072,4.18650884985626,24.7687916171824,40.8897773656928,7.23115638943211,13.1964487438245,4.7514974714989,227.280208511787,2.54735668933364,21.44730929377,0.25038264103756,1.88175181726387,0,1.70823218479662
1,1,91.5159247642756,31.4501376047542,23.908472979379,0.87135716548036,12.5282728898859,5.42631405695374,11.4710294903004,40.0817662727995,25.8395584734019,6.33865308841834,37.4877758339017,61.9336795597037,10.9546174126932,19.9975756482629,7.19689760227018,343.94664631141,3.8565919935532,32.4527376420024,0.379211275192697,2.84933415226586,0,1.70822571188777
2,1,109.373711699574,37.5942382916383,28.6016179281087,1.04307165585259,14.9790333083134,6.48584740840924,13.7108537170028,47.8893236928106,30.9362846444273,7.57643702505326,44.775876286323,74.0839950532005,13.1083301677601,23.9430702875477,8.60922328536921,410.704057213576,4.60901981126467,38.7426752246783,0.453534368576461,3.40628659025358,0,1.7082124978167
3,1,124.16927077174,42.6923799176991,32.5173906522831,1.18698412927766,17.015754832835,7.36455249948547,15.5681239601079,54.3443618800785,35.2113243589168,8.60301392628242,50.7896781663262,84.215550740847,14.9086898080983,27.25383960207,9.788175928809,465.662894167316,5.23235041337203,43.9125065536414,0.515441469156986,3.86870559541387,0,1.7081920057474
4,1,136.633879240415,46.9972736823862,35.8487685026483,1.3101487156926,18.739311190907,8.10612704524895,17.1347606455526,59.7659634255223,38.8726400747058,9.46934364133488,55.8300844072552,92.8288400679484,16.4445050293405,30.0913843787094,10.7932820963044,511.549454172856,5.75746839827991,48.2194293618661,0.567996507118035,4.25947900554433,0,1.70816342988399
5,1,148.784387368115,51.2041928070874,39.1258943699099,1.43192458790575,20.4270111497082,8.8306639001915,18.6639683943145,65.0355261863085,42.492592458809,10.3155989058853,60.7249659917771,101.297933280073,17.9593187989653,32.8994857076538,11.7862285969776,555.906712985905,6.26947100026895,52.3749830176383,0.619611062246716,4.64159625008967,0,1.70812569559231
6,1,160.459283606122,55.2597760921902,42.3081781677052,1.55081419229435,22.0577342307654,9.52917857188682,20.1358930817232,70.0811363895623,46.0241237691286,11.1311507239938,65.4130861824324,109.519302398214,19.4350731996088,35.6426757655731,12.7575483100505,598.114245183328,6.76171093766543,56.3212625886327,0.669656050658245,5.01020195476122,0,1.70807746080292
7,1,172.80585692514,59.5617655826674,45.6999588073905,1.67793882104776,23.7903810872184,10.2705385948951,21.6949904199584,75.4025668633889,49.7939767383959,11.9963080859759,70.3687504759251,118.282783402889,21.0122642276232,38.5751542445903,13.8024218708912,642.435722854635,7.28275202937473,60.4606368459084,0.722967855996718,5.40134391860537,0,1.70801711966849
8,1,185.400201735871,63.9674555317516,49.1920055076317,1.80925030011908,25.5681733310814,11.0304669837488,23.2886760660795,80.8130334187994,53.6780755167367,12.8825932409873,75.427284540591,127.307931531622,22.6416459093556,41.6022257570806,14.8920106442384,687.273797100542,7.81501935688756,64.6437152912663,0.777840040116063,5.80208976246288,0,1.70794280958262
9,1,198.106409104194,68.4333127825265,52.7501102119951,1.94340408770731,27.3737766763273,11.8018358818496,24.9005118878617,86.2521106122284,57.6321050875822,13.7816149779792,80.5438607412753,136.508874131157,24.308455306657,44.691005978578,16.0203873581341,732.121426122175,8.3531429124273,68.8243069039832,0.833760663751762,6.20851748707369,0,1.70785242273182
